报告日期,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-06-30,1997-12-31,1997-06-30,1996-12-31,1996-09-30,1995-12-31,1994-12-31,
现金及现金等价物净增加额(万元),-11288,-4804,13039,4064,1679,1613,-8419,-3954,-4362,-5046,6368,10942,3539,2828,-6484,-7776,-6093,-3171,8278,-1396,4628,224,61,-2032,-568,-1984,-218,265,3046,692,1013,2688,2788,3243,-965,-1756,456,895,-6395,-5301,2472,2947,6043,3218,2231,-896,-6527,-4746,-1577,-6243,727,5710,1117,968,3823,4773,-817,-2046,-3707,4280,2130,1697,2462,2650,1234,0,2106,0,1520,--,562,844,-4226,1042,-3654,--,-7543,--,--,--,--,--,--,--,
总资产(万元),321938,324966,329817,321001,321361,321993,321377,336877,350490,356027,355395,350831,352014,358954,352397,356875,371129,388883,393582,385054,394223,382888,371780,373128,381781,381568,361836,354607,361956,355166,353380,351198,350817,340882,311913,295174,307252,304961,293319,285723,287206,284860,286977,294349,287704,277653,266549,265575,275773,266243,252297,257589,247359,244612,239176,239397,230820,225210,220474,219603,211679,209614,209858,211821,208370,206383,204138,212994,214027,218624,217757,217717,216295,220955,218687,216844,208939,199261,184863,173926,119020,--,132104,114283,
流动资产(万元),232105,233073,235862,224533,222901,221345,218210,231257,241578,245605,242891,241224,242744,243134,234938,238373,251296,268101,272162,269167,278664,267991,258281,262028,271758,271261,250501,245804,253769,247519,245552,245034,249004,243140,218305,206270,213620,213839,201557,195555,198110,195219,198110,203987,196087,189056,177570,179578,191967,182140,171925,194677,190650,187792,182691,185864,178473,174337,168254,172441,165035,161791,160020,162808,159441,--,152442,157843,0,163447,--,0,0,167751,165423,163449,154696,145810,140244,131841,73962,--,84058,80116,
总负债(万元),183158,186656,191814,183524,182480,183341,182828,199044,212293,217894,217461,221341,221570,223873,217550,225055,238903,254604,255397,240721,245472,233930,221283,220672,227904,228013,210243,203158,209942,204356,204404,201917,200925,193361,167379,151619,165554,166876,157865,149390,151371,152529,156639,161469,158001,153236,146272,148678,158893,150511,136914,147039,134874,133486,129738,128508,120437,116239,113034,112218,104938,104392,105951,105676,103468,206383,102372,105278,107358,--,113313,113084,114333,118786,119423,114990,110321,100137,91688,82742,83138,--,91211,96996,
流动负债(万元),177098,180499,185563,179757,178618,179383,178774,194869,208032,208538,208009,193862,193967,201025,194595,210966,228698,244295,244979,226729,231382,219742,206998,191351,207472,207933,199066,198319,205018,199260,199307,186834,186577,179013,153031,136329,150239,152656,147445,133346,135328,136485,140995,127471,124022,119258,112291,128580,143593,135235,121639,130046,127801,126412,122663,104496,96424,87926,84719,86362,79082,78533,80088,95511,93327,--,92002,94884,0,102179,--,0,0,106014,106504,109012,106017,89985,81990,73586,70096,--,64668,54773,
股东权益不含少数股东权益(万元),138780,138310,138002,137477,138881,138652,138549,137833,138197,138134,137934,129489,130444,135081,134846,131821,132226,134279,138184,144332,148752,148958,150497,152456,153877,153555,151593,151450,152014,150810,148976,149280,149892,147522,144534,143338,141476,137862,135229,136114,135609,132331,130078,132648,129429,124135,120014,116546,116534,115384,115031,110203,112125,110778,109093,110548,110025,108621,107097,107031,106375,104900,103586,105775,104532,102762,101408,89146,106035,105909,103809,103991,101333,101504,98570,101104,97828,98192,93176,91184,35883,--,40892,17287,
净资产收益率加权(%),0.56,0.22,0.76,0.39,0.24,0.07,0.73,0.22,0.19,0.14,2.26,0.64,-3.32,0.17,-2.45,-4.71,-4.41,-2.87,-7.18,-3.09,-1.17,-1.03,0.13,1.63,1.49,1.3,2.81,2.72,2.02,1.22,4.12,4.33,3.57,2.06,6.28,6.98,4.41,1.93,5.1,--,4.2,0,8,0,7.5,--,7.51,0,--,--,4.05,0,2.72,0,2.85,0,2.69,0,3.28,0,2.58,0,2.74,0,2.79,0,1.45,0,2.09,--,2.38,2.1,4.37,0,--,--,4.99,--,--,--,0,0,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
