报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-06-30,1997-12-31,1997-06-30,1996-12-31,1995-12-31,1994-12-31,
净利润(扣除非经常性损益后)(万元),75339,67044,5797,115557,14717,26841,5289,153749,55376,39535,--,130437,--,43842,--,105749,--,30422,--,62234,--,16112,--,46966,--,21362,0,41841,0,12609,--,42918,0,6317,--,30902,0,13549,0,25421,0,6843,0,10880,0,2165,0,4137,0,1182,0,1213,310,258,--,-12872,-11152,-7114,208,438,--,--,--,--,--,--,--,--,
经营活动产生的现金流量净额(万元),85155,35044,-167406,303348,-204620,-112405,-226171,-21384,-225969,-258800,-132053,199814,167691,126037,8033,10442,-199594,-165083,-142082,-175254,-181044,-246891,-44769,125592,52664,79495,34944,-3806,20399,2470,-34672,-105245,-85968,-28830,-39587,4042,19353,9621,-19686,-16749,-11256,885,3080,4651,32038,30336,-4603,-20802,-13152,-16920,-13439,583,0,-3432,--,2348,-229,-6314,-2408,-5301,--,-12090,--,--,--,--,--,--,
现金及现金等价物净增加额(万元),45535,82638,-67810,-151091,-68335,-108124,-186199,112046,27105,-80497,-91977,-44247,-28365,-61581,-93137,66524,-136472,-114411,-182842,108171,21980,-55180,114655,111981,59222,70008,5637,-1700,39510,9903,15743,12007,34725,65384,5826,22399,47807,15992,-10876,10261,28386,21234,17741,15984,30744,36624,-2433,948,5822,-8216,-2865,10174,0,7674,--,-8451,597,-12197,-1075,-2332,--,-9852,--,--,--,--,--,--,
总资产(万元),3897994,3446751,3575343,3389813,4207835,3674302,3481589,3388221,3636806,3283358,2983942,2928065,3231468,3063763,2936670,2902552,2920341,2636840,2342989,2303887,1987510,1711842,1531328,1306760,1313277,1175593,1067849,1095180,1151598,1073304,1052680,973844,945210,825294,658996,556254,559367,451288,411079,401340,440750,392084,355894,305954,281278,243789,186815,166807,157996,124686,119539,102805,94819,85595,79244,76705,96744,123037,123318,123135,124149,118626,113320,113014,--,54045,33608,19684,
流动资产(万元),3248041,2948730,3099958,2923223,4080801,3550128,3343925,3252654,3508196,3160610,2861444,2808143,3112273,2942990,2819503,2786763,2839068,2552771,2268113,2232647,1917579,1658172,1481125,1257894,1302220,1164713,1058310,1086748,1143284,1065585,1045582,967348,936083,814698,646701,546046,548943,440887,400514,390471,426654,381850,345481,295470,271853,234248,177136,142389,133357,100010,--,--,0,0,59591,0,0,0,108062,0,112004,106163,100942,101861,--,46351,26787,14855,
总负债(万元),2977982,2548857,2735896,2560550,3492617,2965386,2781638,2700417,3056320,2719998,2441370,2390421,2769439,2617551,2533694,2494577,2602342,2312831,2049064,2011870,1745396,1466244,1289947,1069790,1108928,967970,863991,904532,984892,909853,905120,826594,824890,706713,545233,445153,464153,362716,329441,321883,379354,332225,298822,252114,236730,199719,144901,125114,119452,86194,82135,65552,58399,49339,42584,40751,59250,67432,59981,60388,53039,49650,43167,47630,--,38280,20113,10088,
流动负债(万元),2249653,1857870,2065678,2067580,2650002,2344093,2152094,2089487,2463738,2233382,2115076,2063557,2423799,2259979,2061760,1998867,2137578,1804564,1583550,1576060,1382192,1144606,925965,841431,923114,784743,679820,739760,786111,728817,650896,659390,665601,577983,436716,374653,389653,289716,281441,291883,325354,301925,257822,217114,206580,169914,126346,107114,105952,82694,--,--,0,0,35084,0,0,0,53441,0,47898,46908,40267,44764,--,36260,18193,8148,
股东权益不含少数股东权益(万元),849547,836076,782755,772939,662648,674621,667945,662525,557134,541116,521077,516008,441658,426129,384525,389471,302609,308296,284900,283264,230453,234925,231298,227125,196014,199407,196172,183498,160113,156990,144926,144661,112799,111019,106148,103601,92003,85499,78851,76734,59113,57672,55156,52066,43171,42734,40683,40567,37561,37526,36493,36358,35462,35425,35883,35217,36078,53466,60883,60756,69370,67321,67601,64552,--,15765,13495,9596,
净资产收益率加权(%),10.89,9.07,1.26,16.43,2.42,4.17,0.81,27.47,10.51,7.58,0.98,29.24,14.49,10.91,-1.28,33.47,8.62,10.5,0.58,25.47,5.14,6.93,1.8,23.84,--,10.93,0,23.67,0,8.17,--,34.06,0,--,--,37.25,0,0,0,43.65,0,16.27,0,24.83,0,5.2,0,10.95,0,3.16,0,3.19,0.69,0.59,--,-43.45,-38.86,-12.77,0,0,--,4.2,--,--,--,--,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
