报告日期,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-06-30,1997-12-31,1997-06-30,1996-12-31,1996-06-30,1995-12-31,1995-06-30,
净利润(扣除非经常性损益后)(万元),1505,1148,1079,2264,2203,1661,781,3628,1652,920,546,2224,1122,611,--,2339,--,1525,--,1663,--,617,--,674,0,378,--,662,--,519,0,961,0,517,--,1394,0,873,--,3912,0,2966,0,2753,0,1335,0,2940,0,1104,0,2258,0,726,0,327,591,575,--,495,568,-181,-93,110,--,--,--,--,--,--,--,--,--,
经营活动产生的现金流量净额(万元),13461,9313,2832,27591,14231,8882,3750,29841,14806,8788,4295,31366,21067,14585,3823,34395,23175,12826,6825,24753,15130,8629,1948,8573,5704,3637,1766,7778,4270,2849,1133,9928,6099,4221,1539,3921,3647,1154,-160,4975,1819,1351,449,3674,2080,1269,668,-3328,1641,1109,120,1716,1416,798,-72,2050,0,1116,--,1754,1283,2634,1454,1471,1321,3090,1753,--,--,--,--,--,--,
现金及现金等价物净增加额(万元),5172,1431,1858,8658,2324,2147,2496,9220,802,-3174,2283,2699,7582,5203,2206,4179,3374,1418,378,821,6188,1688,-756,-2866,-3030,-3148,1388,2424,-1136,7720,3826,-16086,-18536,-13465,-13276,18072,8153,7246,-397,2310,4650,13984,-691,-688,666,1468,1903,-707,-1486,332,0,-15006,-13165,-15317,-3366,13986,0,-89,--,454,1089,285,312,-328,-581,-1801,297,--,--,--,--,--,--,
总资产(万元),178541,178459,182537,181260,183031,186103,189901,188451,187431,187307,196302,195022,202665,203687,204437,203786,210931,212893,215640,219077,229862,228174,217892,217505,213229,213145,210220,208660,199173,198919,187324,178927,125626,114749,113357,118857,107353,106274,97352,96636,101185,46565,37729,36263,36263,35586,42055,39946,32906,34216,34196,33909,35957,33508,32357,35870,38742,39330,40505,39852,41463,43216,41704,41981,43400,42680,43175,49527,52210,53224,50962,55714,39743,
流动资产(万元),40151,36268,36586,31692,29131,28426,28328,23167,18102,13892,18914,13692,21935,19555,16004,11177,14194,12130,10634,9890,14939,10447,5723,6613,6446,6587,11028,9736,11950,22464,17725,12838,8738,15240,18288,24795,14452,13997,5759,4461,8340,23613,8944,7607,10515,9641,10420,9084,2088,3528,0,3217,5368,3049,14687,0,--,0,25398,--,0,--,23094,0,24217,23482,22711,28667,33014,33990,32580,37963,21971,
总负债(万元),75326,75828,81680,82553,88315,90105,93810,94073,97908,99791,105383,105239,117418,119402,120870,121019,131431,133942,137498,142415,154380,153319,144243,143933,139459,139797,137169,135839,126564,126420,114544,106535,52946,42533,41393,47412,62977,62333,53905,53684,56429,4663,2646,1851,3562,2506,8780,7403,1235,3477,--,3039,6029,4200,3481,7288,9974,10717,12333,11811,13378,13631,12282,12583,14085,13392,13836,15216,16736,16783,13831,18588,20066,
流动负债(万元),30166,30617,36490,37337,29055,31157,34838,35112,28949,30522,35810,36011,20143,22281,23207,23513,14212,16137,17127,22477,22162,22155,21990,21965,18640,18914,19321,19542,12129,18575,13192,13459,15625,5212,4072,4029,15012,14368,5824,18408,21179,4407,2370,1565,3562,2506,8780,7403,1235,3477,0,3039,6029,4200,3481,0,--,0,9911,--,0,--,10982,0,12664,12362,12817,10584,9302,9479,7363,12253,14978,
股东权益不含少数股东权益(万元),64744,64625,63795,62717,60967,60430,61430,60653,57350,56561,57165,56619,54088,53541,53335,52922,51273,51109,50703,49554,48747,48509,47853,47794,47718,47489,47297,47112,47059,46904,47219,46887,46630,46208,46094,45691,38603,38181,37768,37306,37240,36632,35049,34379,32665,33055,33253,32515,31644,30716,31420,30839,29928,29307,28876,28581,28768,28613,28172,28041,28084,29585,29422,29398,29315,29288,29339,34311,35474,36441,37131,37126,19677,
净资产收益率加权(%),3.18,3,1.7,5.85,4.59,2.26,1.27,8.57,3,1.63,0.96,6.81,2.18,1.16,0.8,6.87,3.72,3.09,2.29,3.62,1.97,1.49,0.12,1.44,0,0.8,0.39,1.55,--,1.11,0,2.03,0,1.12,--,2.87,0,2.3,--,0,0,8.27,0,0,0,4.02,0,9.16,0,3.52,0,7.6,0,2,0,1,0,2,--,2,2.09,0.63,0,0,--,0.36,--,--,--,0,0,0,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
