报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-06-30,1997-12-31,1997-06-30,1996-12-31,1996-06-30,1995-12-31,1994-12-31,
净利润(扣除非经常性损益后)(万元),-1465,-5990,-1336,959,-64,-172,2316,1916,855,8309,6738,3952,2108,22050,17513,11595,--,20369,14857,9575,4116,15908,--,6829,--,12578,--,5767,--,14333,--,6547,0,11716,--,5393,0,7097,0,2395,--,11249,0,6774,--,13655,0,7268,0,11476,0,5792,0,10065,0,4439,0,7542,0,3790,0,6311,4755,3274,--,6033,3368,4514,2029,--,--,--,--,--,--,--,--,--,--,
经营活动产生的现金流量净额(万元),10519,38046,26652,14116,6213,37147,24796,15111,7455,33266,23195,12393,7802,41437,28167,13656,6733,43546,31929,19321,8810,32768,22738,10356,5747,26765,22664,8732,5311,25512,21215,10052,3199,17919,18174,9648,3080,24253,17523,12739,3045,15531,9904,6885,3495,10773,8165,4913,2246,10740,8276,4054,1607,9939,6996,3921,1746,6884,4610,2617,1204,7286,0,2886,--,8470,2707,7346,3515,6155,--,6919,--,--,--,--,--,--,--,
现金及现金等价物净增加额(万元),-46511,45760,10817,-3270,-9360,20349,12747,32648,53454,-5421,-9212,-491,3173,7542,-1945,-7717,14873,-66002,-78316,-46683,-47650,49124,24600,47470,71746,21554,3615,-7035,10246,-3882,-10671,-1529,-4121,7947,9981,-5934,-5823,4692,12258,16428,1055,4196,-607,8210,6868,-4260,-4874,-1791,-6349,-70,-5727,-5357,-5919,827,-4933,-1990,-2783,-6381,-8282,-832,1131,-320,0,2941,--,5021,2527,3645,2502,1681,--,-1847,--,--,--,--,--,--,--,
总资产(万元),939362,932905,835730,794528,766632,754904,704396,642209,653164,564396,553913,548551,543271,538963,501250,483253,456128,450106,433318,442570,451635,447909,412162,413489,416467,364799,300683,280488,290287,280463,258624,261238,256889,261249,259556,238454,234404,226955,213165,195981,171995,169496,149643,140971,137746,128044,126690,100589,97606,94224,82349,80796,79552,84303,75635,79294,78816,70011,66108,67281,65624,63872,61943,64624,63178,61684,60386,57377,57646,55861,57396,55978,58924,58473,62950,64853,63047,58787,27970,
流动资产(万元),76900,128991,80757,65490,58574,64889,57621,81528,105110,66754,80675,83460,83918,89485,90281,84911,86947,95231,93345,120218,125078,132941,108130,118927,128014,82154,34625,19304,34314,23995,15612,27189,25838,30036,29221,13625,12713,16823,25463,29579,13763,14980,25313,17332,14777,7580,29114,11458,10639,11372,6809,7255,6787,11697,8237,12339,12139,18114,18292,20573,22102,20599,0,0,20727,0,0,0,0,9920,10617,7913,10312,10188,16694,18280,16122,12584,4662,
总负债(万元),581645,575338,574028,531026,504701,493495,443406,382146,394788,357287,349468,344484,341773,340121,306092,294637,275567,274968,263967,279034,291838,292983,261489,265225,272612,223925,163261,149209,159407,166334,147416,153793,146674,154082,155706,137392,132069,127078,127960,112821,84230,83842,66026,59575,52851,47008,47579,25472,20028,20085,10916,7341,9230,16645,9258,11434,13353,6801,4698,7819,8127,8197,4921,9080,9335,9400,6546,6898,6047,6283,6811,7166,8576,10527,13384,17708,14726,13161,11078,
流动负债(万元),265949,248683,232413,238893,242544,259659,269434,218359,186332,158683,85854,83386,81717,86408,78154,78531,63913,66896,44448,26306,19664,22238,39025,85925,94675,101610,110902,54507,49855,51948,35664,44312,36738,44113,77834,134429,129187,124320,124734,109489,80816,80322,62293,32817,26069,20213,20672,21578,16149,16206,10204,6630,8519,15934,8227,10402,12321,5965,3737,6859,7167,7237,0,0,8250,0,0,0,0,4396,4676,5031,6210,8161,10734,15059,11868,10226,9778,
股东权益不含少数股东权益(万元),168936,170165,174632,176834,175722,175684,177924,177464,176360,175409,173203,173310,171276,169049,165369,159352,152103,147299,141604,136237,133035,128756,124862,122895,118802,116034,110386,107492,106929,104617,101009,97155,99719,96458,92974,90014,91164,88606,85205,83159,87764,85655,83618,81396,84895,81036,78607,74632,77106,73676,70979,73014,69886,67224,64532,67637,65247,63210,61410,59461,57498,55675,57022,55544,53844,52285,53840,50479,51600,49578,50585,48813,50347,47946,49566,47144,48321,45626,16892,
净资产收益率加权(%),-0.74,-3.23,-0.64,0.62,0,0.11,1.38,1.14,0.53,5.31,4.01,2.49,1.33,13.84,11.48,7.81,3.19,15.07,11.08,7.33,3.27,13.23,9.57,5.74,2.36,11.77,7.98,5.4,2.19,14.21,10.62,6.77,3.32,12.73,--,5.95,0,7.92,0,2.62,--,13.52,0,8.01,--,17.5,0,9.4,0,16.19,0,0,0,15.28,0,6.54,0,11.92,0,0,0,11.31,0,6.04,--,11.25,6.44,8.65,0,--,--,9,--,--,--,0,0,0,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
