报告日期,2019-06-30,2019-03-31,2018-12-31,2018-06-30,2018-03-31,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2014-06-30,2013-12-31,2013-06-30,2012-12-31,2012-06-30,2011-12-31,2011-06-30,2010-12-31,2010-06-30,2009-12-31,2009-06-30,2004-12-31,2004-03-31,2003-12-31,2002-12-31,2002-03-31,2001-12-31,2001-09-30,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-06-30,1997-12-31,1997-06-30,1996-12-31,1996-06-30,1995-12-31,1995-06-30,1994-12-31,1994-06-30,1993-12-31,1992-12-31,1991-12-31,1990-12-31,
净利润(扣除非经常性损益后)(万元),-313,-195,47,-380,-467,178,122,450,44,45,-1012,-1302,-768,-1273,-2934,-1437,-3165,-1377,-3165,-1697,-3159,-1880,-3159,-6637,-4230,-15115,0,0,-7412,--,-3540,-60820,-7375,-20883,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
经营活动产生的现金流量净额(万元),-255,-169,-2043,-1925,-611,-2215,-415,-3849,-168,224,-36,102,18,-418,-245,32,-29,-2,-4,-236,-2790,155,294,585,200,--,0,0,1259,--,7185,18305,1363,-2003,--,8822,--,--,--,--,--,--,--,--,--,--,--,--,--,
现金及现金等价物净增加额(万元),-317,-231,-1444,-546,383,-3350,-2118,5035,15834,219,-36,101,17,-419,-1,31,--,-5,-3,-236,-118,-21,-10,-337,--,--,0,0,-418,--,-2138,-14,1259,-6279,--,3063,--,--,--,--,--,--,--,--,--,--,--,--,--,
总资产(万元),8269,8387,8620,8453,8478,8835,8613,9994,16598,793,633,189,157,87,16496,16448,17028,16764,34599,43889,37280,46210,37712,46786,49876,50266,75534,121096,121194,239823,256812,249445,289415,298598,312605,325803,387812,384530,385509,345461,305086,285692,274048,248028,214841,192161,101833,60782,28515,
流动资产(万元),4124,4231,4455,8044,7472,8005,8153,9619,16240,424,626,181,151,80,13758,13731,14119,13882,26388,39902,26754,40206,26832,--,--,32367,53185,90683,0,157164,0,0,0,206253,211848,211917,265307,238656,256533,245950,223967,205557,203906,181873,144323,127719,59280,34016,0,
总负债(万元),531,539,579,560,1364,1263,1239,2623,592,179111,331112,330175,329604,328778,348656,345675,347984,344554,337259,343383,343330,354512,342224,315172,--,309942,274777,--,220566,--,314470,299307,286329,288369,265053,279725,277631,270828,264020,231364,185648,183286,166573,143745,117510,105049,76486,44067,0,
流动负债(万元),531,539,579,560,1364,1263,1239,2623,592,179111,261566,260629,260057,259232,348656,276128,347984,344554,337259,343383,342188,353370,341083,314031,--,308800,274777,220908,0,275065,0,0,0,257449,238457,253032,207122,211470,183081,188652,166976,166295,163048,137953,97722,90876,64595,40074,0,
股东权益不含少数股东权益(万元),7738,7849,8041,7893,7114,7572,7374,7372,15971,-178220,-330479,-329987,-329447,-328691,-332160,-329227,-330956,-327790,-302659,-299494,-297971,-300198,-296433,-260569,-254194,-251875,-199243,-99812,-99371,-59012,-57658,-54360,3086,10228,47390,46179,109042,112621,113690,109247,115607,98514,102326,98283,88835,80130,20136,14270,0,
净资产收益率加权(%),-3.85,-2.43,5.58,3.63,-6,3.24,0.43,-193.34,1012.32,0,0,0,0,0,--,0,--,0,0,0,--,-0.01,--,0,--,--,0,0,0,--,0,0,0,--,--,--,--,--,--,0,0,0,0,0,0,--,--,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
