报告日期,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-06-30,1997-12-31,1997-06-30,1996-12-31,1996-06-30,1995-12-31,1995-06-30,1994-12-31,1994-06-30,1993-12-31,1993-06-30,1992-12-31,1991-12-31,1990-12-31,
总负债(万元),27481,20038,22616,19508,21495,20734,22501,21803,22298,24716,25199,40165,38731,22145,28343,82408,73568,73736,49108,48880,51019,78480,77256,--,75648,78040,77323,80085,82341,59509,60720,51477,45989,39876,53313,35771,30437,21804,23213,8024,13668,16446,12710,16203,13931,14177,10575,9335,11897,10810,10001,--,--,
流动负债(万元),23956,16593,19170,14508,15245,14484,15001,11853,11348,13016,12499,26625,24941,7846,13794,55412,25065,25233,48777,48549,50689,78067,76843,0,75235,77544,76827,79589,--,--,0,50899,0,0,0,0,28694,20978,22387,8024,12868,13418,11910,12321,13131,10577,6975,5827,8338,7551,6762,--,--,
股东权益不含少数股东权益(万元),9434,9430,9713,8795,8145,6347,6129,5004,4486,4627,4901,-6014,-7630,6958,7276,-82398,-73524,-73513,-47931,-47699,-48451,-22990,-21082,-19341,-18472,9296,10549,24400,25305,64777,64023,64390,62723,67918,61674,64743,55411,47088,31926,27627,23763,24319,23620,23035,23425,24502,24340,23526,16439,15162,13002,--,--,
净资产收益率加权(%),-3.65,-3.5,13.28,0.87,6.18,3.49,22.27,2.09,-8.83,-5.75,2277.79,--,--,-4.47,18.05,--,--,--,0,0,0,0,0,0,0,0,-139.87,0,-85.01,0,2.05,--,4.24,12.35,18.99,0,0,--,32.28,--,--,--,0,0,0,0,0,0,0,--,--,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
