报告日期,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-09-30,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-06-30,1997-12-31,
现金及现金等价物净增加额(万元),44216,35176,33699,-9876,4424,-5205,-20648,23822,43181,35895,7955,-12985,-3915,287,-12477,-26617,-7360,-7775,12281,14060,46467,4355,7664,28116,79250,22875,29215,7641,25019,26557,39218,5909,21781,16184,17351,-94402,-35257,-17056,25350,-3740,-16168,-12069,-20166,-14281,0,-33454,--,-16750,--,-19085,-105167,-22112,43175,--,-6535,--,--,
总资产(万元),1556123,1575409,1588762,1620881,1563838,1511389,1477452,1479147,1467201,1512587,1530213,1516570,1527554,1515269,1591678,1643063,1654646,1693699,1592454,1563776,1634312,1665538,1814460,2009991,1384404,1306277,1280745,1222180,1189916,1147509,1151428,1073852,1080274,1036459,1001657,918305,907436,881967,904061,868008,896457,884569,859528,860242,840770,826338,810215,781631,785212,766079,726958,749615,763821,728971,760742,747569,715430,
流动资产(万元),206660,220539,184528,211586,219667,187620,201003,194036,198733,184891,151156,139001,144833,131091,122175,131937,164830,155188,168022,183737,206774,155271,162419,150508,182227,135332,164679,125714,150366,130314,174094,97509,154559,141251,139095,95443,166791,163504,206233,174552,194797,187974,--,--,0,0,188063,--,214455,0,0,298350,296935,237851,253384,206376,278945,
总负债(万元),473677,532304,550148,592545,597491,564723,536550,554637,539492,566415,543063,563435,596824,627911,621359,652308,699297,746811,759926,778025,798219,753019,748271,815441,663492,608132,546300,502674,493155,476227,459815,399295,424890,398564,325298,271885,262967,258150,254307,241632,267032,289883,285536,302226,237476,238546,236274,223696,--,217463,212211,216904,267427,236958,304202,318619,308270,
流动负债(万元),220087,274116,278381,320099,351208,321535,290484,309059,185910,203287,170606,198236,188699,210313,179930,201692,214293,247892,248182,282898,259920,250425,235327,242541,201094,161849,142871,129950,137595,145210,135299,97517,145695,136554,98288,71557,101467,119650,173307,165562,185426,208277,--,--,0,0,161062,--,96714,0,0,86705,117336,36750,97177,59387,31961,
股东权益不含少数股东权益(万元),1034602,998380,994555,985207,923815,904319,898610,882768,885234,902892,944100,911675,889867,847917,930408,950831,916607,910675,798811,746383,796592,868586,1014331,1144007,671377,650953,681931,667644,647560,624234,646952,631491,614587,597820,634012,619308,617329,598375,623182,600884,605553,574092,554330,538678,581944,566442,552591,536586,569330,548617,514746,532711,496394,492013,456541,428949,407160,
净资产收益率加权(%),10.25,5.43,1.12,8.54,8.26,4.47,1.58,3.11,3.74,2.4,1.12,5.64,3.94,1.54,0.41,5.72,0,3.18,0,0.29,0,2.61,--,7.46,0,3.64,--,11.45,0,5.08,0,9.57,0,4.54,0,11.18,0,7.33,0,9.84,0,6.37,0,9.72,0,0,--,13.34,--,6.61,11.79,0,--,--,19.07,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
