报告日期,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-09-30,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-06-30,1997-12-31,1997-06-30,1996-12-31,1996-06-30,1995-12-31,1995-06-30,1994-12-31,
净利润(扣除非经常性损益后)(万元),3394,629,-9907,2,-414,-622,-201,-493,-577,-251,-493,1019,1826,-235,2206,3726,3856,271,4518,4476,2518,238,3438,3291,2122,33,1346,--,1620,--,1216,--,962,--,3445,--,1783,--,2311,--,1281,0,2037,0,1330,--,2932,0,1153,--,2001,0,917,0,1874,0,1236,0,1773,0,1005,0,-676,0,-566,0,1871,1577,902,--,1715,1191,769,1663,665,408,--,--,--,--,--,--,--,--,--,--,
经营活动产生的现金流量净额(万元),-5920,-6659,-7272,-6536,708,-1675,-5344,-2088,1805,-612,-6480,-1908,1367,-2657,-3055,3120,6842,-2316,-2768,40,1808,-2125,1657,6772,4647,-1995,-2250,860,1028,-4108,3778,22,-301,-4964,4727,5126,3694,67,907,1408,-1597,110,4577,2964,-1107,-386,6689,4507,292,-1846,4959,4673,-986,-3604,6314,3662,890,-730,2297,3583,119,-79,2560,4228,2376,-329,4029,0,-899,--,3531,0,239,4133,919,4770,--,4367,--,--,--,--,--,--,--,--,
现金及现金等价物净增加额(万元),-5617,-6816,10790,-444,7713,957,-403,-8833,-2517,2254,-6836,-5050,-2206,-4925,8429,2414,14045,-1447,-6706,-181,-3488,-7566,-1394,8390,8961,-5534,-14725,1857,1804,-3468,5276,-2194,1105,-2832,3184,3535,3311,742,514,2995,-463,206,2580,818,-713,-501,6635,4451,742,-1847,3411,2445,-995,-3881,10184,9438,6692,284,7613,8887,5344,628,-1587,-318,-2090,901,-985,0,-2442,--,1501,0,879,-315,2009,506,--,-474,--,--,--,--,--,--,--,--,
总资产(万元),146029,141664,144848,144312,147080,151740,160304,166963,169736,161186,165782,176268,176672,168486,179580,190503,202059,175671,172765,153867,146305,133275,134996,155455,140762,136957,137351,143917,145785,134235,135439,150805,149623,144747,150660,162403,158597,163348,164970,150469,151608,132936,114816,126290,151412,159842,192797,151356,124798,74052,76261,76919,71363,67591,73453,73186,70416,66891,70595,74992,67098,53174,57437,61093,59390,66609,67025,63177,59923,60126,62711,0,67443,68663,63082,64641,61123,60448,63656,65860,65063,63734,62165,56504,58867,52426,
流动资产(万元),51948,64747,71627,39665,45298,35738,38049,42471,46932,61576,64255,71982,73520,58520,58816,72843,74868,59141,56812,69620,68271,53740,54107,70289,69738,56305,56324,69642,68818,53255,55348,64695,56228,48865,52429,58889,58796,45786,45097,48523,42410,43217,43684,45872,45537,40933,43981,41103,37741,33241,35726,36224,31488,27716,33634,32916,30212,22735,26063,30420,22339,8232,8682,12603,10824,--,--,0,--,13975,--,0,0,0,17144,0,13964,13610,17211,21495,24750,25172,27034,24188,32972,37362,
总负债(万元),56384,51048,58440,40302,45474,40290,45591,51274,55442,44292,49151,58738,60385,47944,52817,67468,72049,54323,53780,58824,57757,42790,44997,61851,56449,45635,47118,58302,58728,45030,47898,62204,55478,45884,51946,60009,60248,49389,50622,48974,45932,42531,39562,44379,50998,48309,59224,47407,43276,23196,26045,27687,23139,18765,24786,24858,22783,19918,24093,30146,23569,10036,14351,18028,16587,24842,25318,21147,18658,19752,22384,0,27271,28216,22794,25006,20497,20247,23876,27003,27364,28206,26737,23042,24365,19846,
流动负债(万元),46526,40552,48930,31185,37040,28316,32074,37060,41668,29453,33942,42896,44897,30866,33212,48802,50999,35948,35742,48746,49108,33665,35679,51317,48134,34996,36504,48773,48540,34001,37227,50877,42197,31619,37699,44374,45499,29674,30493,32861,28059,29579,31526,34112,34428,28506,31991,29907,27824,23196,26045,27687,23139,18765,24786,24858,22783,19918,24093,30146,23569,10036,14351,18028,16587,--,--,0,--,19752,--,0,0,0,22794,0,20497,20247,23314,26503,25967,26906,26637,22942,21395,16739,
股东权益不含少数股东权益(万元),89252,90371,86152,103974,101534,111556,114756,115951,114489,117088,116786,117786,116509,120738,126907,123213,130155,121470,119072,95057,88553,90485,89985,93570,84260,91254,90154,85529,86971,89115,87436,88311,93810,98621,98326,101901,97861,113459,113496,100682,104873,89539,74379,80808,99313,110382,132417,102828,80418,49733,49041,48156,47165,47778,47572,47273,46578,45974,45710,43995,42702,42459,42353,42349,42101,41050,40973,41327,40631,39730,39682,0,39596,39799,39463,38799,39563,39000,38517,37490,36313,34187,34156,32160,33395,31524,
净资产收益率加权(%),5.7,1.61,5.89,5.01,4.45,1.22,5.24,4.45,4.26,1.19,5.14,4.35,4.1,1.16,4.91,4.2,4.09,1.18,6.34,6.27,3.87,1.2,6.42,6.38,3.36,1.14,4.75,3.29,2.65,0.69,2.81,1.63,1.21,0.24,4.84,4.23,2.99,1.06,4.14,--,2.71,0,2.13,0,1.15,--,3.65,0,3.71,--,4.81,0,1.93,0,4.93,0,2.75,0,9.87,0,3.27,0,0.13,0,-0.47,0,4.67,0,2.36,--,4.26,0,2.17,4.23,0,3.91,--,3.92,--,--,--,0,0,0,0,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
