报告日期,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2005-03-31,2004-12-31,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-06-30,1997-12-31,1997-06-30,1996-12-31,1996-06-30,1995-12-31,1995-06-30,1994-12-31,1994-06-30,1993-12-31,1993-06-30,1992-12-31,1992-06-30,
净利润(扣除非经常性损益后)(万元),57,-47,77,83,-3,-6,7,43,3,-5,1189,-68,-85,-95,243,--,-214,--,-538,--,-207,--,-563,--,-239,--,-600,--,-204,--,-637,--,-255,--,-432,--,-234,--,-343,--,-156,--,--,-5282,-685,-4472,-1116,-378,--,-12171,-5372,-2323,0,-14468,-15130,-5326,-19870,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
经营活动产生的现金流量净额(万元),-114,-451,-95,-650,-310,-601,-656,-1424,-1136,-1227,1678,-499,-170,-130,724,62,54,134,-1602,-164,-116,-45,64,-323,-357,-105,-441,-290,-135,-111,31,-183,94,-7,220,114,383,358,95,139,85,6,--,-692,155,599,-344,-344,--,-3404,--,-564,0,-510,-1028,802,-3784,-1874,-3333,--,--,--,--,--,--,--,--,--,--,--,--,--,
现金及现金等价物净增加额(万元),-108,-451,-70,-650,-310,-601,-656,-1424,-1136,-1227,2173,-499,-170,-130,748,62,54,134,-208,-99,-71,-21,44,-84,-226,-84,-14,-155,-134,-101,-21,-113,104,-3,184,137,394,358,150,125,85,18,--,264,0,-137,0,-117,--,-1135,--,-611,0,451,-669,-673,-1127,-2427,111,--,--,--,--,--,--,--,--,--,--,--,--,--,
总资产(万元),3589,3679,3534,3699,3627,3995,3462,3742,3533,3304,4196,3633,3500,3813,3951,4120,4230,4447,4365,4200,4053,6971,2878,2941,2727,2747,2682,2830,2796,2415,2395,2565,2551,2584,2759,2745,2955,2927,2925,3173,3527,3140,6393,6568,9186,10087,7830,10793,14192,16678,21966,24280,26314,27092,42315,57427,63826,81974,102587,115862,117871,118428,120844,112027,114623,106056,93908,64551,57586,52130,45315,39854,
流动资产(万元),3583,3669,3524,3688,3615,3982,3449,3728,3519,3289,4181,3606,3472,3784,3921,4088,4196,4412,4329,4162,4014,6930,2836,2894,2677,2693,2625,2768,2730,2357,2333,2499,2481,2510,2681,2657,2863,2826,2820,3060,3433,3068,--,1921,2822,3670,0,5889,0,4505,8817,10847,12176,12512,0,0,0,51982,69641,81784,78151,74673,76798,70118,78924,70437,60476,35067,33860,34106,32401,34638,
总负债(万元),7965,8171,7974,8151,8171,8544,8005,8246,8052,7855,8739,9572,9455,9783,9821,10361,10670,10876,10757,10563,10421,14347,10236,10445,10207,10217,10132,10570,10564,10128,10093,10373,10382,10312,10443,10740,10914,10900,10853,11062,11454,11014,--,42324,42454,42671,--,45697,--,51194,49015,48206,0,48707,47361,53381,54453,60288,63847,71689,73044,67022,69514,59969,65441,55285,42389,37788,31843,27319,26376,22116,
流动负债(万元),7660,7866,7669,7846,7866,8239,7700,7941,7747,7550,8434,9267,9150,9478,9516,10056,9875,10082,9962,9768,9626,13552,9441,9650,9412,9422,9337,9775,9769,9333,9298,9579,9587,9517,9648,9945,10120,10105,10059,10267,10660,10219,--,42324,42454,42671,0,45697,0,51194,49015,48206,49111,48707,0,0,0,59747,63539,71000,72491,65073,67749,52626,56542,43100,29967,25657,21538,19154,21499,19454,
股东权益不含少数股东权益(万元),-4611,-4718,-4671,-4683,-4768,-4772,-4766,-4730,-4745,-4777,-4769,-6015,-6033,-6042,-5947,-6269,-6471,-6462,-6425,-6392,-6399,-7407,-7390,-7534,-7510,-7501,-7482,-7769,-7800,-7744,-7730,-7862,-7886,-7783,-7740,-8057,-8025,-8037,-7996,-7960,-7998,-7945,-36456,-35835,-33323,-32639,-35752,-35015,-34758,-34637,-27638,-24606,-23519,-22337,-5996,2757,8083,20328,37315,42547,43154,49766,49732,51067,48144,49801,50513,26576,25743,24811,18939,17738,
净资产收益率加权(%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,0,--,--,0,0,--,--,--,--,--,--,--,0,--,--,--,0.01,--,--,--,--,0,0,0,--,--,--,0,--,--,0,--,0,0,-109.89,--,-15.79,--,--,--,0,0,0,0,0,0,0,--,0,0,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
