报告日期,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2005-03-31,2004-12-31,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-06-30,1997-12-31,1997-06-30,1996-12-31,1996-06-30,1995-12-31,1995-06-30,1994-12-31,1994-06-30,1993-12-31,1993-06-30,1992-12-31,1991-12-31,1990-12-31,
净利润(扣除非经常性损益后)(万元),1,0,2,1,1,0,3,2,2,5,3,2,1,-1022,--,-23169,-5608,0,-28307,0,-5528,0,-18498,-5502,-4150,--,-9140,-1927,-84,144,184,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,
经营活动产生的现金流量净额(万元),0,0,2,0,0,2,3,0,0,6764,5609,5739,5986,-7670,8,-17,-41,-32,165,-126,64,-25,-4968,0,-4418,--,-11799,-10479,-883,5777,-1352,--,-2596,-609,--,--,--,--,--,--,--,--,--,--,--,--,--,
现金及现金等价物净增加额(万元),-97,-7,-117,-80,-69,-22,-1498,-1460,-53,2022,2466,1218,1465,-29,--,-46,-54,-15,-146,-94,-210,-52,-5406,0,-4697,--,-3010,-5405,2462,3127,-4601,--,7625,3258,--,--,--,--,--,--,--,--,--,--,--,--,--,
总资产(万元),311,401,408,444,455,503,525,562,1969,2023,2467,1220,1465,6834,35325,35964,45044,49793,50833,65658,65620,70133,73149,83173,87478,82506,87891,96949,99276,103623,99300,91297,80435,68736,58704,41455,40639,39046,39013,32143,27669,25910,18797,17331,14871,--,--,
流动资产(万元),311,401,408,444,455,503,525,562,1969,2023,2467,1220,1465,6834,--,4180,12049,15956,16366,24886,23664,27404,--,--,--,37941,0,0,0,0,0,50904,45982,34625,25621,14844,13455,15936,17929,13168,9249,14764,8306,8057,6611,--,--,
总负债(万元),389,479,487,524,535,583,605,644,2051,2106,2553,1307,1553,6923,--,100155,96211,91449,91320,83378,68443,69428,70411,66465,69410,62298,65866,66118,66284,70825,66698,51359,49170,44111,39299,23667,22963,21918,22224,15118,11909,9377,10485,8457,6967,--,--,
流动负债(万元),389,479,487,524,535,583,605,644,2051,2106,2553,1307,1553,6923,--,98715,94771,88039,88718,77418,63841,64826,--,--,--,56979,0,0,0,0,0,27812,26462,22143,16852,12366,14821,15473,17000,11956,9927,6802,7844,5385,3705,--,--,
股东权益不含少数股东权益(万元),-78,--,-79,-79,-80,-80,-81,-81,-82,-84,-86,-87,-88,-89,-65808,-64123,-51102,-41601,-40435,-17786,-2892,637,2660,16627,17980,20109,21927,30724,32877,31561,31420,37488,30265,23210,19405,17789,17676,17128,16788,17025,15760,16534,8312,8874,7903,--,--,
净资产收益率加权(%),--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,0,0,0,0,0,0,-156.72,0,0,--,-37.19,-6,7,0,0,--,--,--,--,--,0,0,0,0,0,0,--,--,--,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
