报告日期,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-06-30,1997-12-31,1997-06-30,1996-12-31,1996-06-30,1995-12-31,1995-06-30,1994-12-31,
净利润(扣除非经常性损益后)(万元),986,-374,-97,-993,-3121,-2779,682,633,680,562,3646,2762,1594,456,2553,2313,367,299,4176,3193,1705,1142,1654,1072,71,413,1320,--,-1888,--,-1542,--,762,--,5908,--,2917,0,3882,--,1775,0,1760,0,2643,--,3084,0,2669,--,-84602,0,-1144,0,-25457,0,-10056,0,6792,0,49,0,10515,0,9,0,29489,23438,12863,0,17865,7238,18684,9179,0,--,--,--,--,--,--,--,--,--,--,
经营活动产生的现金流量净额(万元),417,1252,10608,-6548,-11982,-884,6972,-3140,-5751,317,10817,-6190,-6017,-2174,8344,-10412,-5056,-3698,4502,-5955,-3308,-1559,16578,3057,-6344,-2841,10770,3281,-4657,-5856,9398,-3146,-12479,1263,22618,14256,3746,4791,30486,11173,-3605,-1707,33346,8918,-15992,-7067,49318,33997,7698,16663,4543,-1065,-51102,4011,8118,-57619,-16400,-6075,-23956,-26104,-38552,-16404,23260,-22689,-19725,-12899,40318,0,13069,0,64086,22700,40755,14107,27444,--,-2202,--,--,--,--,--,--,--,--,
现金及现金等价物净增加额(万元),-15706,-8082,-11589,-27672,-31585,-32450,-17381,-52082,-47426,-27770,6237,-36908,-29587,-21465,20521,-21460,-10351,-17564,-36412,-56880,-67031,20623,7473,15066,16084,19396,5323,46954,32476,16812,7731,7896,-2955,11572,8674,-9009,-18862,-18360,14146,-2823,-14496,-12064,536,-13417,-29396,-12570,2529,13510,11804,13516,-3561,2216,-7641,-14866,-13145,-3584,-239,-1734,-7552,3821,-18118,7469,35022,-848,-6567,-7843,-2092,0,-8394,0,11228,-4551,9557,-1070,121,--,2448,--,--,--,--,--,--,--,--,
总资产(万元),186605,181966,184251,183200,158309,162580,177883,164966,165593,160259,169753,167268,150811,147768,165604,182657,176629,177932,165102,197376,209988,204872,169080,196682,180273,173717,167985,220487,203992,192262,191613,217686,200290,192501,198511,212106,199154,196081,211776,195076,181552,186037,223637,259936,260097,267663,290818,298878,327671,323416,367329,484922,497454,450132,449575,496032,482364,513283,507396,555791,529171,615651,471593,361219,294940,264221,264800,283971,261856,252170,246148,233231,246947,171700,194304,122296,133401,130492,95069,100412,96065,99609,77462,--,60475,
流动资产(万元),158420,154382,155961,153921,129444,133952,149345,137467,139172,134166,143420,141432,124843,121804,139811,157138,151916,152738,139588,171650,183752,177221,140807,167738,149972,142479,135996,182823,165521,151239,149325,172840,152587,142116,145209,153436,136783,128694,139904,117798,99270,98597,130862,160854,155961,156891,174826,179579,203128,199432,234097,340827,354096,306830,304089,348095,332760,358202,341644,381006,355048,444161,303104,201515,150043,0,0,0,0,123536,121695,0,127780,0,--,81211,87239,91313,53539,57778,42686,57927,36985,--,0,
总负债(万元),77745,74334,82612,92158,70598,72696,83555,71482,72472,65259,74585,74842,60004,56974,73861,92130,88236,86744,74902,108804,124510,116590,81671,110823,95665,87645,83296,138741,123954,110682,108572,131869,115536,108694,114661,129528,119006,118447,136408,122623,110715,116653,155518,192353,194264,204377,228384,240611,272016,290238,339549,371303,354101,308174,308317,350205,331889,341302,339920,389314,364019,455036,314066,208144,142724,0,125626,151402,135865,--,132996,125338,145981,90294,124100,58238,74646,75158,42361,50971,50527,55346,36364,--,--,
流动负债(万元),72866,69424,79825,81124,59569,61591,72483,71354,72345,65164,74491,74817,59978,56950,73837,92099,88101,86663,74840,108782,124466,116546,81323,110562,95528,87615,83268,134657,119870,106620,104510,127698,111320,104054,110651,125121,114576,113852,132206,117969,106052,105278,144279,181032,179138,187834,211808,213913,244674,280238,329549,361303,344101,298174,308317,350205,331889,341302,339920,384314,359019,450036,309066,207363,141943,0,0,0,0,118593,129874,0,142198,0,--,50560,66968,74200,42361,42504,42105,52041,32185,--,0,
股东权益不含少数股东权益(万元),68964,68253,64880,59275,56760,58642,61081,60173,59841,61782,61086,58961,57671,58199,55973,54959,53382,55482,54657,53379,50987,52768,52069,50577,48535,49877,48805,46441,44813,46009,47086,49144,48396,47735,46141,45191,43409,41541,39657,37546,36370,35293,34378,34276,33048,31043,30318,27307,25139,20548,20302,78767,106262,106170,105878,121830,128186,144865,142604,141200,139673,140795,138571,136207,137406,132157,126098,121180,113904,118054,101174,95931,88649,81406,70204,64058,58756,55334,52707,48527,45538,42917,41099,--,41247,
净资产收益率加权(%),7.02,5.15,1.82,-0.8,-4.73,-4,4.29,2.62,1.79,1.1,7.95,5.16,3.11,1.11,6.31,5.09,2.73,1.45,9.66,7.3,2.82,1.04,9.36,6.04,2.14,1.54,4.42,-0.48,-4.26,-2.31,2.09,6.42,4.77,3.34,15.01,12.11,8.9,4.54,14.25,--,5.7,0,13.15,0,8.76,--,25.55,0,21.43,--,-141.9,0,0.17,0,-29.4,0,-10.65,0,2.88,0,0.4,0,9.34,0,0,0,21.23,0,11.92,0,17.54,0,--,0,0,--,14.71,--,--,--,0,0,0,0,0,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
