报告日期,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,1999-12-31,1998-12-31,1997-12-31,
净利润(扣除非经常性损益后)(万元),-2506,-1431,-1256,-1832,-822,-169,-4973,-334,-317,56,55,459,207,115,-3117,2180,1929,-656,312,-1750,-1120,-514,-561,-839,-793,73,-172,--,-774,--,-1402,--,-494,--,-2315,--,-426,--,-22142,0,-332,0,-53464,0,-6235,--,-22039,0,-31317,0,-27945,0,1704,0,2018,0,2350,0,10498,0,7524,0,14004,0,7633,0,11526,8635,5555,--,6612,3878,6266,0,--,--,
经营活动产生的现金流量净额(万元),1425,1841,3457,2491,3393,1387,-8455,-4858,2869,2706,5448,8075,7685,3071,1981,1648,3236,-1313,-13433,-9816,-3984,-5633,-20455,-17647,-16257,-94,-439,-905,236,314,-53,-776,-2065,-588,-3227,0,0,2,-692,1,24,-38,-477,-599,74,377,-1126,-62,232,-400,-1764,3451,2924,1390,2871,10836,9792,1876,7784,5943,8896,3090,12447,13300,10869,4096,16238,0,10525,--,6342,4126,6928,0,--,--,
现金及现金等价物净增加额(万元),2019,645,-3459,-3917,-3727,-1694,-5886,3589,2663,2616,4243,4624,4899,487,4896,4107,3062,-1419,-4240,-4690,-864,-3630,-356,1979,250,2569,8097,4904,-395,-307,-421,-750,-896,-816,966,0,0,2,-39,-1,22,-40,-587,-574,70,377,-169,-75,220,-407,394,134,527,-8,-22755,-17174,-12902,-13357,9574,10215,-4667,10273,3109,5449,6350,2121,337,0,-183,--,-18712,-2288,20761,0,--,--,
总资产(万元),69699,67208,62437,55737,46163,47151,50376,60589,57144,55501,62676,69672,78619,86487,85479,61494,65994,67462,64250,53337,48139,36741,38076,43545,38162,19346,19362,27124,22292,22214,21902,21157,20567,19266,19998,18090,18198,18268,18333,36013,36120,93188,59868,209400,212818,217419,218212,222417,224794,240640,258011,269291,269829,265648,276173,265595,261379,261112,299239,275642,251693,249898,231099,215291,207101,193461,183966,170079,162551,148848,117349,105218,93090,43758,29771,25732,
流动资产(万元),28907,26745,29538,44406,34564,36154,40296,56007,52544,50819,58035,64491,73555,81487,83065,57920,62370,63041,59835,48209,42819,31319,32340,38388,33442,13830,13951,16670,11460,10430,10100,9476,8650,7216,7913,3256,3257,3261,3259,6422,6462,31650,13988,13494,14890,17423,16107,17795,18345,--,47645,37796,39004,43037,46648,49555,47258,50024,80210,55710,60921,64192,46618,53223,36433,37485,0,--,0,20401,0,0,0,0,18375,13993,
总负债(万元),35202,31648,24512,16028,7459,7795,12098,25026,21574,19232,26458,32336,41044,49337,48378,18147,22718,37215,33226,26456,22716,10228,14376,20862,15414,7284,7872,20808,26251,24741,24095,24542,23472,21831,22463,22535,22371,22177,22024,35577,46998,92943,83592,154786,154028,155106,152685,136236,134879,--,135200,105342,106417,102753,114285,97930,94931,95894,134359,117582,146842,147474,133688,121418,117207,106602,102554,77927,73678,63264,59418,57338,54367,28075,19943,19362,
流动负债(万元),17981,14427,14341,6037,7459,7795,12098,25026,21574,19232,26458,32336,41044,49337,48378,18147,22718,37215,33226,26456,22716,10228,14376,20852,15414,7284,7872,20808,24511,23001,22355,22842,21772,20131,20764,21475,21311,21118,20964,34272,36181,82121,71870,140932,140175,141252,138832,122136,120779,--,121572,101189,102467,100984,102970,88178,85479,91316,73604,51963,94088,94720,102934,96522,76311,63270,0,--,0,42239,0,0,0,0,17900,19318,
股东权益不含少数股东权益(万元),31807,32831,35159,36883,35872,36514,36393,35566,35570,36040,35983,36032,35786,35333,35226,41527,41353,28347,28998,24573,22903,23925,20970,20027,20092,11562,11489,4864,-3959,-2693,-2388,-3595,-3159,-2834,-2753,-5801,-5565,-5327,-5134,424,-10890,233,-23735,33120,36901,40118,43136,62920,66356,78543,97672,134286,133684,133006,131985,133593,132384,131115,129814,130347,77202,74791,69678,66604,63047,59786,55373,52839,49756,46736,44194,42594,38724,15684,9827,6370,
净资产收益率加权(%),-7.36,-4.22,2.01,0.86,-1.44,0.33,1.13,-0.89,-0.88,0.16,1.06,1.2,0.51,0.31,18.43,34.73,34.32,-2.27,32.13,15.82,8.81,13.16,58.42,54.18,54.48,0.63,36.01,78.08,--,0,0,--,--,--,--,--,0,--,0,0,-74.2,0,--,0,-15.58,--,-77.9,0,-38.18,0,-29.92,0,1.28,0,1.55,0,1.79,0,11.48,0,9.75,0,24.74,0,12,0,23,0,12,--,16,0,27,0,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
