报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2014-06-30,2014-03-31,2013-12-31,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2005-09-30,2005-03-31,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-06-30,1997-12-31,1997-06-30,1996-12-31,1995-12-31,1994-12-31,1993-12-31,
净利润(扣除非经常性损益后)(万元),2076,1419,119,2185,2291,1168,31,3090,1679,1378,3508,1668,197,2,-3,--,-5,-43,--,-463,--,-355,--,408,--,-166,0,-1375,0,-855,--,-1787,--,-955,--,--,--,-2581,0,-3287,0,-2355,0,-40830,-1912,-1757,0,-8202,108,1814,1063,2531,--,--,--,--,--,--,--,--,--,
经营活动产生的现金流量净额(万元),-1080,-324,-269,359,-421,-2223,967,5164,2393,1310,-10193,-10246,-8161,-468,41,14,-83,--,--,-197,-74,65,49,82,65,48,-36,-336,-276,-317,-188,277,50,39,17,-81,130,-225,-409,476,-119,-174,-53,785,0,5,0,-32,-139,2653,357,3951,--,5497,1273,--,--,--,--,--,--,
现金及现金等价物净增加额(万元),-225,531,58,-68,-203,-320,2080,-442,-262,-101,-486,-577,1608,1440,41,14,-83,--,--,--,-66,66,49,77,65,48,-36,-309,-276,-317,-188,319,50,39,17,-515,-212,-728,-765,-89,-460,-456,0,-633,0,-1398,0,-3950,-2084,-27003,8539,18510,--,4124,-2965,--,--,--,--,--,--,
总资产(万元),99365,98518,69452,72798,94110,81629,74913,79971,75903,78259,44173,64116,59955,48460,4353,4288,4326,--,--,4652,4594,4597,4391,4496,6724,6826,6259,6436,7999,7641,7716,7655,7496,7593,7705,21552,22599,37299,39251,39545,47482,71228,73631,71843,106366,106673,106293,111560,117353,118372,99006,79497,65962,61217,51855,50370,51317,48061,24100,186763,11872,
流动资产(万元),55196,53867,27876,30752,49017,35028,30365,35138,32926,37854,19928,21428,17584,6941,4310,4243,4279,--,--,4595,4487,4447,4237,4341,4412,4494,3903,4067,5127,4752,4801,4714,4418,4488,4572,13998,14678,27456,27798,27962,35573,59428,--,0,0,0,94084,0,0,0,0,0,53597,49614,38429,38517,40441,41314,18702,16024,7401,
总负债(万元),57103,55332,30733,34614,53196,40944,37356,42476,42279,47342,21616,28491,25937,15003,141042,140957,140990,--,--,134332,127323,127192,126948,126933,121200,120969,120571,120585,116621,116167,115883,114929,108610,108180,107888,114301,111739,107414,104526,103481,60572,82529,--,80825,78948,78151,--,79366,79038,80225,61720,43307,29735,26331,25431,26408,29532,27609,16379,15637,8704,
流动负债(万元),54430,53726,29332,33214,52274,40104,34433,41573,40430,45492,21616,28491,25937,15003,140975,140890,140923,--,--,134265,127256,127125,126881,126866,121133,120902,120504,120518,116554,116100,115816,114862,108543,108113,107821,114271,111573,107321,104393,103348,60479,82436,--,0,0,0,76708,0,0,0,0,0,29690,25856,24686,25653,27862,27339,13778,11159,8207,
股东权益不含少数股东权益(万元),33914,35100,30992,30413,32000,32380,29640,29600,28439,25658,21431,18398,16928,16772,-137134,-137112,-137107,--,--,-130119,-123155,-123022,-122982,-122848,-114898,-114587,-114709,-114544,-109025,-108927,-108521,-107616,-101466,-100938,-100530,-93285,-89719,-70723,-65885,-64545,-13817,-12025,-10848,-9669,26582,27674,27674,31345,37408,37251,36409,35350,35443,34096,26159,23962,21785,20452,7721,3040,3168,
净资产收益率加权(%),2.58,2.2,0.39,7.82,7.44,4.86,0.07,17.8,13.55,10.59,24.69,5.96,0.58,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,-12,0,-16.91,0.42,5.24,0,0,--,18.96,--,--,--,0,--,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
