报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-06-30,1997-12-31,1997-06-30,1996-12-31,1995-12-31,1994-12-31,
净利润(扣除非经常性损益后)(万元),-10023,-6704,--,-2219,-43,1019,--,3886,-3506,-4468,--,-28285,-14342,-10545,--,-30686,--,478,--,-13614,--,-1753,--,819,--,-1565,--,-1722,--,-1720,994,--,405,--,2456,--,461,--,-6452,--,-1997,--,0,2244,--,-12666,0,-3413,0,-7804,0,-2454,0,-9405,0,-2441,0,-5843,0,-1500,0,165,-669,-912,0,-5773,782,2450,1056,609,--,--,--,--,--,--,--,--,
经营活动产生的现金流量净额(万元),5599,6756,-2808,91,-18144,-7153,-12760,14170,-35526,-39841,-38649,-10905,-16635,-7827,-4029,1539,5378,3693,3271,-8404,11379,6297,1715,-3490,-5965,-3974,-8802,-1154,-2839,-5377,-17654,-13604,-4160,193,719,1343,232,225,-288,11,42,23,-2944,-803,-2741,6117,-193,-214,-93,1329,123,-110,472,-281,934,1273,262,1320,4086,1518,939,320,0,2766,0,-3578,2418,2305,-3734,876,--,-1713,--,--,--,--,--,--,
现金及现金等价物净增加额(万元),115446,209203,-19842,-128644,-74186,-55592,-16198,183318,652,-1608,-463,2162,810,-245,383,-1425,-267,-227,133,976,2065,-1238,210,-2193,-1756,-1962,-911,1068,-1276,-525,1458,885,651,121,152,1191,132,222,-28,11,42,23,81,344,1829,-288,-361,-312,-289,-1050,-254,174,233,-611,139,-50,-102,202,2832,145,685,353,0,-74,0,-2298,-1764,2044,-1082,20,--,953,--,--,--,--,--,--,
总资产(万元),764163,671223,364007,313934,318818,307657,294114,286440,127732,106923,113584,105144,121002,120979,119000,120393,130216,127355,145792,130622,133334,147379,144671,136309,174182,130444,130476,100330,116436,87861,78484,97596,89335,77356,69257,68916,65844,61944,55479,41820,42492,42990,55844,56479,58094,51650,53930,57026,60359,63145,79567,80636,83608,79545,90326,91103,93833,92355,116931,115998,118029,118342,125209,122065,125790,121684,123922,137922,121681,123470,154834,136149,112904,108138,110683,56511,45890,37692,
流动资产(万元),270212,332547,177963,154541,180808,187518,197669,202430,75954,70892,77030,68297,73190,72679,70014,70766,85377,81960,99795,83316,87192,100983,97820,89099,130980,90428,93950,65698,88185,60762,50918,69117,60659,48308,39820,39546,36063,31725,24813,10756,10827,10653,16812,16732,17732,10138,12518,12820,15279,17255,26839,27177,29405,24499,33771,33425,34474,32181,55348,53359,--,53727,68565,0,69008,0,0,103994,0,0,125974,98816,54029,49036,78141,31285,31905,26416,
总负债(万元),807800,716837,405820,360963,364123,351497,339681,332372,169843,150688,196286,185334,156823,153099,148692,143322,126115,118916,137637,122694,115821,129611,125720,117289,160006,115430,115207,83750,107796,75384,64227,92516,83837,71903,64421,64278,61924,56865,51997,34882,34656,34032,40784,39697,44041,37329,45146,46968,47738,48706,52238,52080,52998,48794,45313,44082,45454,42483,46617,43985,45118,45055,53202,50218,53585,48634,44141,58803,43275,46129,76620,58344,29622,27352,33615,32447,27464,21893,
流动负债(万元),237635,173887,162870,117763,135923,123297,111481,104172,165293,146138,191736,180784,120973,117249,112842,107472,89065,81866,100587,90644,107571,121361,117470,109039,151006,108380,110757,83750,107796,75384,64227,92516,83837,71903,64421,64275,61920,56862,51993,34879,34652,34028,40784,39697,44041,37329,45146,46968,47738,48706,52238,52080,52998,48794,45313,44082,45454,42483,46498,43856,--,44906,53152,0,53535,0,0,58803,0,0,76643,57893,29141,26845,33164,32447,27464,21893,
股东权益不含少数股东权益(万元),-43637,-45614,-41813,-47029,-45305,-43840,-45568,-45932,-44685,-42878,-81859,-79416,-35486,-31888,-29559,-22630,4065,8271,7961,7727,17433,17491,18506,18507,13453,14282,14538,15847,9318,13153,14877,5632,6063,6002,5386,4637,3920,5079,3482,6937,7836,8958,14596,16316,13544,13792,8485,9715,12260,14030,26891,28151,30201,30326,44585,46607,47978,49456,69959,71643,72564,72895,71608,71417,72205,72397,78837,79120,78406,77340,78214,76938,82376,79883,76167,23164,18426,15799,
净资产收益率加权(%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-54.09,6.08,2.89,-83.16,-5.98,-5.65,0,15.48,-16.34,-10.39,-9.37,5.12,-45.96,-12.3,28.04,4.46,11.84,10.82,68.14,28.46,11.83,35.18,-95.39,--,-22.6,--,0,18.63,--,10.94,0,-36.35,0,-73.77,0,-7.44,0,-48.05,0,-5.93,0,-38.34,0,-1.73,0,0.68,0,0,0,-7.62,0.9,--,0,0,--,1.81,--,--,--,0,0,0,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
