报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-06-30,1997-12-31,1997-06-30,1996-12-31,1996-06-30,1995-12-31,1995-06-30,1994-12-31,1993-12-31,1992-12-31,
净利润(扣除非经常性损益后)(万元),0,--,-45,--,-44,-56,-41,-7155,-5345,-3541,-1701,-6709,-5036,-3362,-1658,-6212,--,-2936,--,-5546,--,-2813,--,-5396,--,-2592,--,-5104,--,-2445,--,--,--,-2427,0,-4321,--,-1948,--,-4287,--,-2084,--,--,-5152,0,-2101,0,-46324,--,-39683,0,-60339,--,-10773,0,-15589,0,452,0,4541,3815,3102,--,5340,4748,6941,3514,4555,--,--,--,--,--,--,--,--,--,--,--,--,
经营活动产生的现金流量净额(万元),0,0,0,0,0,0,0,-2,-2,1,-1,1,0,0,0,0,0,0,0,-1,-1,-0,-1,1,2,2,3,-0,1,1,1,-0,1,4,3,-0,1,-1,-1,-0,1,0,-1,1,-124,-182,-185,-3,-904,-381,-190,-79,-1501,-326,-882,723,6690,23203,3086,-3802,13710,--,-7181,--,4736,19230,13208,5768,16132,--,-839,443,--,--,--,--,--,--,--,--,--,
现金及现金等价物净增加额(万元),0,0,0,0,0,0,0,-2,-2,1,-1,1,0,0,0,0,0,0,0,-1,-1,-0,-1,1,2,2,3,-0,1,1,1,-0,1,4,3,-0,1,-1,-1,-0,1,0,-1,1,-69,55,30,83,-739,--,-83,-49,-71678,-71712,-71426,-56609,-8041,-35909,-8763,-5459,-28612,--,1052,--,18862,7582,87609,96093,7960,--,-11,1125,--,--,--,--,--,--,--,--,--,
总资产(万元),0,0,0,0,104,104,104,104,104,106,104,105,104,104,104,104,104,116,540,540,540,540,540,540,541,542,508,526,527,527,527,526,527,530,529,526,527,526,526,526,4344,4343,4342,21256,21261,60914,64223,90666,91290,97287,97223,187186,188747,230677,243624,251435,267207,281587,233663,236656,234572,240539,239284,252254,241905,228290,189316,178435,73911,73800,69343,62091,41163,40949,42819,40532,38703,39707,37890,21243,16017,
流动资产(万元),0,0,0,0,9,9,9,9,9,11,9,10,9,9,9,9,9,21,437,437,437,438,437,438,439,439,406,423,424,425,425,--,425,428,427,424,424,423,423,424,4241,4241,4240,20177,20176,20808,21523,21675,21956,--,23690,62844,62551,95238,106969,109033,122955,118439,149630,--,--,170035,0,178796,0,0,139940,0,44365,50980,48687,29343,20729,21075,22535,20847,19090,20885,19260,12821,9922,
总负债(万元),375323,375282,375244,375199,207300,207165,207150,207109,205320,203536,201693,199993,198320,196646,194942,193284,191626,190021,188753,187276,185996,184545,183121,181731,180291,178929,177640,176355,174976,173698,172485,171251,170237,169028,167751,166597,165360,164223,163359,162276,161155,160074,159017,162146,161212,191392,192439,212253,211223,--,190478,227766,226435,197729,203789,144413,156203,127963,85024,88445,86715,95061,94713,110239,98363,78715,58078,47673,43095,43892,43022,37664,21689,22623,24540,22670,23652,-17895,20367,11364,8389,
流动负债(万元),375323,375282,375244,375199,119661,119526,119511,119470,117681,115897,114054,112355,110681,109007,107303,105645,103987,102383,101114,99637,98357,96906,95482,94093,92652,91290,90001,88716,87338,86059,84847,--,82599,81390,80113,78958,77721,76584,75720,74637,73516,72435,71378,63630,161212,190852,191899,211713,210683,--,189938,227226,225895,171018,175877,115757,127694,87148,62440,--,--,72517,0,84415,0,0,44530,0,23800,26475,25710,21090,14188,14542,15745,14986,15736,11012,9489,6797,3851,
股东权益不含少数股东权益(万元),-375322,-375281,-375244,-375199,-207196,-207061,-207046,-207005,-205216,-203430,-201589,-199888,-198216,-196542,-194838,-193180,-191522,-189906,-188213,-186737,-185456,-184004,-182581,-181191,-179750,-178387,-177132,-175829,-174450,-173170,-171958,-170725,-169710,-168498,-167222,-166071,-164833,-163697,-162833,-161749,-156812,-155730,-154675,-140890,-139951,-126610,-124463,-120598,-119073,-95771,-94364,-42600,-39905,26608,33412,96196,99952,139633,139381,139104,138798,136620,135909,133644,132346,128461,121534,122795,23522,24490,21416,19942,18516,18326,18279,17862,15051,17895,17523,9879,7628,
净资产收益率加权(%),--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,0,--,0,0,--,0,0,0,--,-95.03,0,-32.58,0,0,0,3.76,--,2.62,--,6.94,4.38,0,0,0,--,23.15,--,--,--,0,0,0,0,--,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
