报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2004-09-30,2003-12-31,2002-12-31,2002-06-30,2002-03-31,2001-12-31,2001-09-30,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-06-30,1997-12-31,1997-06-30,1996-12-31,1996-06-30,1995-12-31,1994-12-31,1993-12-31,
经营活动产生的现金流量净额(万元),301,239,285,-771,301,22,240,-650,-353,-13,-3,-37,-266,-210,162,109,--,-340,-18,-66,-56,-15,25,20,85,76,48,-59,-63,-49,-24,-125,-41,-24,-22,-125,-99,-23,23,90,-81,0,-1216,--,833,--,662,2462,575,-155,--,2033,1321,--,--,--,--,--,--,--,
现金及现金等价物净增加额(万元),303,239,285,0,303,24,239,-201,-54,-13,-4,-39,-269,-214,162,-160,--,-130,191,173,183,222,25,152,106,97,65,-43,-63,-49,-24,-34,-22,-5,-13,128,76,32,33,--,-24,0,-295,--,-40,--,-124,-1097,-762,17,--,915,1599,--,--,--,--,--,--,--,
总资产(万元),8504,8750,8835,8763,9258,9958,5493,4479,4516,4685,4694,4687,7349,7484,7637,7836,8246,8330,8419,8561,9667,9623,9801,9878,10277,10500,10804,10979,10206,10253,10390,10496,10869,11904,11931,12008,12227,12386,12403,36666,39720,44467,45900,47870,47328,63393,60748,64515,66765,67958,70308,61975,59243,37114,34968,33092,29888,26769,19880,--,
流动资产(万元),6540,6763,6811,6730,7194,7871,3372,2346,217,347,277,271,544,603,684,807,1173,1188,1193,1148,1146,1092,885,878,871,969,967,1019,1013,1050,1116,1125,1265,1329,1198,1190,1317,1386,1308,--,10369,12228,0,13384,0,24241,0,0,0,0,28599,25017,25867,14521,12778,11481,8325,5918,5167,--,
总负债(万元),139168,138234,137114,135881,135007,134100,135614,133345,131623,130478,129161,127997,121931,121233,120745,120048,118115,117533,116913,116447,113385,112734,112124,111524,95852,95656,95033,94457,93876,93274,92703,92093,90945,91515,90871,90502,88113,87624,86933,--,75086,73178,63028,63090,60670,--,53971,56530,54094,54176,50646,44038,41579,20696,19073,20302,16465,14186,12449,--,
流动负债(万元),138601,137667,136546,135314,106726,133533,135047,132778,102279,100834,99517,98353,92294,91597,91051,90353,54688,54106,53486,87591,84802,84152,83542,82941,67269,67073,66435,65859,65278,64676,64104,63494,62347,62190,61547,61178,58789,58300,57609,--,73071,64593,0,52104,0,42350,0,0,0,0,35348,30027,27356,11191,9731,12680,10618,6172,5448,--,
股东权益不含少数股东权益(万元),-130270,-129089,-127861,-126727,-120917,-123759,-129744,-128482,-125650,-125389,-124090,-122932,-114633,-113800,-113159,-112263,-109940,-109275,-108566,-107958,-103807,-103201,-102412,-101735,-85701,-85282,-84356,-83604,-83806,-83157,-82449,-81733,-80222,-79757,-79087,-78640,-76039,-75391,-74683,-37190,-35808,-29161,-17603,-15696,-13820,6832,6597,7817,12672,13782,19662,17936,17665,16418,15895,12790,13423,12583,7431,--,
净资产收益率加权(%),0,0,0,--,0,0,0,0,0,0,0,0,--,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,--,0,0,--,0,--,0,0,0,0,--,11.05,--,--,--,--,--,--,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
