报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-06-30,1997-12-31,1997-06-30,1996-12-31,1996-06-30,1995-12-31,1994-12-31,1993-12-31,
总资产(万元),12253,12329,12310,12496,12803,12910,13129,13523,13826,13733,14190,14520,15002,15329,15391,15961,16642,16098,15565,16149,17305,16309,16179,17022,91521,102100,107754,147256,151868,317584,283765,265879,234243,197605,170679,131792,121089,70707,62211,56389,26642,20573,13,
流动资产(万元),588,593,422,467,674,689,792,1055,1230,1108,1485,1698,1797,1948,1833,2223,2863,2237,1583,2064,3038,2404,2116,2802,--,0,28832,62951,--,0,0,0,48613,53128,64673,53844,59205,40308,34001,38560,9828,13328,8,
总负债(万元),393,516,179,149,86,79,80,146,100,45,107,146,329,317,90,287,1494,1109,278,624,2178,1375,997,1637,101666,112051,116687,156290,159337,96755,65763,72584,59017,49301,45406,31875,31378,19552,18920,10665,8598,10787,4,
流动负债(万元),393,516,179,149,86,79,80,146,100,45,107,146,329,317,90,287,1494,1109,278,624,2178,1375,997,1637,--,0,116687,135750,--,0,0,0,45367,41963,38583,25458,28034,16954,16321,8522,8055,7833,4,
股东权益不含少数股东权益(万元),11860,11813,12131,12348,12718,12831,13049,13378,13727,13688,14082,14375,14673,15012,15302,15674,15148,14989,15287,15525,15128,14934,15182,15385,-10145,-6702,-5737,-6127,-4678,220089,217842,193295,175226,148303,125273,99918,89711,51155,43291,45724,18045,9785,9,
净资产收益率加权(%),-4.03,-4.27,-1.79,-8.01,-5.29,-4.32,-2.49,-7.19,-4.81,-5.1,-2.08,-8.65,-7.01,-4.32,-2.41,0.96,-2.51,-3.41,-1.56,0.9,-1.69,-2.98,-1.33,-6.72,0,0,0,0,0,7.97,21.99,0,--,--,28.94,--,--,--,0,0,0,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
