报告日期,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-06-30,1997-12-31,1997-06-30,1996-12-31,1996-06-30,1995-12-31,1995-06-30,1994-12-31,1994-06-30,1993-12-31,1993-06-30,1992-12-31,1992-06-30,
现金及现金等价物净增加额(万元),-16143,-23380,-11306,10681,1330,11944,-1098,15893,9679,5060,2800,1571,-332,-537,-4291,10528,4079,2557,-851,-395,-124,737,-675,-27798,0,6216,--,4034,730,4178,-10574,17203,--,-1453,--,--,--,--,--,--,--,--,--,--,--,--,--,
总资产(万元),411606,382114,380411,359844,359251,351110,351923,316507,321117,295476,281645,253362,238942,218919,211365,201385,199708,196579,175928,173026,180333,175329,169340,168122,331379,330038,516468,497167,449587,436797,437649,447282,256265,255789,265054,252863,252415,244958,237994,229559,226975,226717,204893,192833,167518,157958,138225,
流动资产(万元),159108,148814,150380,145833,132324,135729,129796,113448,118384,113388,102716,88368,87699,83598,81569,75138,73366,71244,51873,51660,59344,60985,54528,--,0,--,370915,0,0,0,0,0,171923,170775,177048,167037,166435,159954,165494,161991,162314,164245,148976,140729,123435,117481,102463,
总负债(万元),128971,117853,132206,126104,127646,134136,137076,124433,138976,116329,114941,102825,98673,88792,92852,90759,91435,92872,75303,74670,82564,79639,78250,78926,--,243341,412007,392213,342975,325537,328887,344980,171331,171438,174459,162968,161040,154241,156998,149229,147769,141167,121852,115675,100712,98501,102075,
流动负债(万元),128362,117245,131575,125450,126961,133772,136689,124023,137163,109994,108582,96443,90786,82378,85915,83805,84284,84518,70779,68631,75086,71260,65898,--,0,--,388315,0,0,0,0,0,149521,149058,148220,137812,137674,138556,143050,138870,141177,136686,108267,101801,83364,79375,71567,
股东权益不含少数股东权益(万元),279522,261317,245091,230511,228095,213457,214340,191574,181622,178613,166153,149976,139654,129531,117907,110626,108273,103707,100626,98356,97769,95690,91089,89195,87189,86625,84615,84883,85947,89576,87500,80420,83217,82558,89461,88823,90331,89674,80224,79787,79206,82565,83041,77158,66806,59457,36151,
净资产收益率加权(%),0,13.67,--,20.57,0,17.22,--,32.2,0,17.43,0,32.95,0,15.74,0,12.95,0,6.67,0,8.91,0,6.11,0,6,0,0,--,4.88,6.44,12.37,0,0,--,1.32,--,--,--,0,0,--,0,0,0,0,--,--,0,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
