报告日期,2019-06-30,2018-12-31,2018-06-30,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2014-06-30,2013-12-31,2013-06-30,2012-12-31,2012-06-30,2011-12-31,2011-06-30,2010-12-31,2010-06-30,2009-12-31,2009-06-30,2008-12-31,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-06-30,1997-12-31,1997-06-30,1996-12-31,1996-06-30,1995-12-31,1995-06-30,1994-12-31,1994-06-30,1993-12-31,1992-12-31,1991-12-31,1990-12-31,
流动负债(万元),113697,113511,107201,107015,108636,107785,100621,100139,96894,96672,96238,95615,94924,94657,94883,93382,94477,93742,61359,61243,42857,42779,70398,69353,69254,--,72444,64466,64233,57501,61851,--,0,--,--,75526,77707,0,0,0,0,81504,61694,58450,54886,58196,58682,63602,66096,57395,46562,48582,24568,20198,19326,19172,
股东权益不含少数股东权益(万元),-116943,-116544,-110804,-110516,-112262,-111842,-104987,-104656,-101159,-100690,-100485,-99991,-99864,-99360,-104173,-103791,-103851,-103121,-107933,-107725,-61392,-60884,-52171,-51202,-50621,-6115,-5418,-5111,-4040,18426,18926,19198,19658,25965,26278,26168,25878,26269,25214,21172,20813,36905,36742,34300,34510,34486,31220,26441,27857,31946,29806,28484,17307,12242,10901,8712,
净资产收益率加权(%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,0,0,--,0,0,--,--,-3.99,0,-26.21,0,1.48,--,6.44,2.98,17.65,0,0,--,7.18,--,--,--,0,0,0,0,0,0,--,--,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
