报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2006-12-31,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-06-30,1997-12-31,1997-06-30,1996-12-31,1995-12-31,
净利润(扣除非经常性损益后)(万元),--,--,--,-145,--,--,--,-672,--,--,--,-1279,-1431,-1072,--,-9657,--,-1693,--,-3423,--,-1693,--,-4365,--,-2313,--,-3919,--,-2161,--,-4723,--,-2320,--,-12514,--,-5853,--,-10855,--,-4251,--,-26610,--,-12067,0,-4696,0,-60836,0,-15867,0,-20737,0,96,0,3487,3072,2207,--,3642,3643,10078,5076,9540,--,--,--,0,--,--,--,
经营活动产生的现金流量净额(万元),-250,-245,-154,-1612,-8,-80,-25,-969,-80,-80,-23,79,103,23,-3,79,-65,-35,1,41,-15,43,34,-38,-48,-15,339,66,796,25,339,-574,-656,-505,38,265,-310,73,-224,741,448,550,461,-9328,-1349,24945,5316,7035,3705,-37020,-39645,-30313,-21127,2218,13706,13918,2787,15509,0,11986,--,-9689,-7146,10721,184,20693,--,-5544,-12648,0,--,--,--,
现金及现金等价物净增加额(万元),-249,-245,-154,-1445,-8,-1406,-1370,1613,0,-80,-23,79,103,23,-3,-105,-65,-35,1,2,-12,44,35,-63,-74,-41,339,-14,796,25,339,-470,-383,-461,38,297,-309,76,-213,-9,255,430,72,-12934,--,11479,3997,6200,-1718,-31039,-32621,-20120,-18168,12081,12359,11854,0,7291,0,8415,--,-8255,-6255,14679,-6233,6818,--,781,13466,0,--,--,--,
总资产(万元),2,7,97,251,340,348,383,1753,665,671,722,746,796,715,1966,2003,15907,16214,16620,16979,17937,18564,18767,19281,19612,20156,25443,22557,24673,24438,25443,24855,22322,28167,28104,28236,63640,68251,71633,75240,77609,78890,81897,131090,120725,118621,130338,125025,121231,111418,168706,184350,216283,205853,225760,201970,198197,185308,175157,162018,167025,154841,154837,149339,128929,113312,141985,116286,120168,92259,--,85534,104452,
流动资产(万元),1,6,96,251,340,348,383,1753,300,306,357,380,430,349,400,437,6081,6046,6096,6072,6328,6605,6250,6371,6270,6454,9806,8180,9787,9215,9806,9011,6220,11079,10539,10245,11751,13718,15892,18220,19273,19020,20436,51320,--,57290,67097,60577,56556,50558,56318,71386,102221,88949,124677,99764,0,81642,--,--,64730,--,0,0,0,0,58175,29269,37890,15220,--,9809,48205,
总负债(万元),45156,45154,45230,45328,45495,45495,45497,46854,48801,48782,48810,48811,48694,48255,48811,48470,53367,52887,52513,52021,52032,51816,51403,50877,49318,48804,49705,48884,50957,49814,49705,47515,46584,47055,45846,44739,68478,69669,70324,71392,69946,69022,69966,106838,--,188574,180920,175169,173537,162086,160067,173996,174960,164264,88889,65906,--,49369,39792,27714,35009,23327,24134,18854,26991,17554,46267,27425,35815,44911,--,46829,73314,
流动负债(万元),45156,45154,45230,45328,45495,45495,45497,46854,48801,48782,48810,48811,48694,48255,48811,48470,53367,52887,52513,52021,52032,51816,51403,50877,49318,48804,47505,46684,48757,47614,47505,45315,44384,44855,43646,42539,42278,43469,43724,44792,43046,42122,42766,103838,--,185574,177920,172169,173537,162086,152144,158130,132160,133264,83089,60106,0,43569,--,--,34209,--,0,0,0,0,33727,27425,9688,16839,--,14458,65414,
股东权益不含少数股东权益(万元),-45154,-45147,-45133,-45077,-45155,-45147,-45114,-45100,-44363,-44339,-44316,-44293,-44128,-43769,-43074,-42697,-33988,-33208,-32434,-31595,-30656,-29825,-29216,-28184,-26316,-25269,-20888,-22956,-22912,-21995,-20888,-19380,-20966,-15647,-14518,-13281,-1720,1398,3970,6329,9910,12000,14068,25514,-65375,-61280,-42012,-41603,-43869,-42276,13684,15388,42372,42782,128607,127980,129269,127884,127468,126603,124728,124397,123801,124024,95852,90776,86776,81279,77930,41705,--,34611,27513,
净资产收益率加权(%),--,--,0,0,--,--,0,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,-127.64,--,-87.89,--,-30.09,--,162.86,--,0,0,0,0,0,0,-45.53,0,-66.39,0,0,0,2.77,0,0,--,3.81,3.39,10.31,0,0,0,13.84,0,0,--,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
