报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2014-06-30,2013-12-31,2013-06-30,2012-12-31,2012-06-30,2011-12-31,2011-06-30,2010-12-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-06-30,1997-12-31,1997-06-30,1996-12-31,1996-06-30,1995-12-31,1994-12-31,1993-12-31,
现金及现金等价物净增加额(万元),-145,-103,-93,-103,-50,-43,50,-951,-943,1067,-149,-279,1556,512,6,2,2,2,7,-2,-0,2,1521,-74,1928,0,36,0,15,0,-441,-105,-3908,-3456,1369,--,-980,1539,--,--,--,--,--,--,--,
总资产(万元),3433,3449,3422,1475,1423,1313,1386,1421,1341,1913,15762,675,2375,579,332,21,20,17,36,53,5989,8434,38874,38290,37517,37842,38252,41929,46129,47864,48803,95834,104951,119801,113657,110852,109922,172926,149477,131801,116000,96742,95206,--,--,
流动资产(万元),3414,3429,3400,1451,1398,1286,1357,1390,1306,1903,15756,669,2369,572,325,16,16,12,31,24,5955,5966,17144,16480,18541,0,0,0,--,19775,0,0,0,0,0,74139,73511,98728,87866,75082,69425,54163,52082,--,--,
总负债(万元),14,16,9,33,27,6,15,19,131,718,15023,116,81788,83855,77466,76251,75374,74553,73678,72815,72624,73502,50738,50319,51403,--,49795,40029,44597,--,43999,47696,46750,45025,39374,36789,37900,88977,69304,64002,53644,39185,46844,--,--,
流动负债(万元),14,16,9,33,27,6,15,19,131,718,15023,116,33695,34284,29448,28884,28647,28478,28254,28042,28493,30031,50738,49991,51403,0,0,0,--,41968,0,0,0,0,0,31021,32219,57949,43062,44968,43322,28530,35747,--,--,
股东权益不含少数股东权益(万元),3419,3433,3413,1442,1396,1307,1371,1402,1210,1195,483,332,-79543,-83408,-77134,-76231,-75354,-74537,-73643,-72763,-66635,-65069,-11864,-12473,-13886,-12284,-11543,1900,1531,4914,4805,48138,58201,74776,74282,74063,72022,72755,69092,55262,51378,46159,37026,35466,33846,
净资产收益率加权(%),-0.77,-0.3,-1.05,2.74,-0.55,-7.06,-2.71,15.95,19.09,113.12,37.09,--,--,--,--,--,0,--,--,--,--,--,0,0,0,0,0,0,0,0,-166.99,-5.28,-17.58,0,0,0,6.44,0,0,0,0,0,--,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
