报告日期,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-06-30,1997-12-31,1997-06-30,1996-12-31,1995-12-31,1994-12-31,
净利润(扣除非经常性损益后)(万元),-47,-142,--,-132,-57,-211,--,-130,-72,-322,--,-248,-158,-225,--,-154,--,-1046,--,-973,--,-1932,--,-1020,--,-2121,--,--,--,-1680,--,--,--,-2318,--,--,-1774,-3426,-3089,--,--,0,-19844,0,-46053,0,-1699,0,-3853,0,3,0,275,3109,2704,--,3582,2264,5030,1245,5750,--,--,--,--,--,--,--,--,
经营活动产生的现金流量净额(万元),2,-6,-10,-5,-10,-29,-0,0,1,-14,-12,-16,-14,-1,0,-1,1,1,1,1,-1,-4,3,1,-1,2,1,2,4,-19,-30,-11,602,13,-9,2,-59,13,-183,31,-29507,-29540,-29545,-22,-4688,617,-2663,65,5601,-1458,-1841,861,-8307,0,10162,--,1191,2167,7558,-6792,-9866,-1445,-1614,--,--,--,--,--,--,
现金及现金等价物净增加额(万元),2,-6,-10,-5,-10,-29,-0,0,1,-0,2,-2,0,-1,0,-1,1,0,1,1,-1,-5,3,1,-1,2,1,2,4,-17,-13,-9,602,5,-10,2,-45,12,-30,0,-29523,-29598,-29598,-34,-4909,-415,-3436,-220,22755,-1193,206,2180,-5911,0,10106,--,-16226,-4263,32814,13117,-2538,-79,627,--,--,--,--,--,--,
总资产(万元),5747,5791,5765,5811,5880,5939,5898,5947,6003,6104,6098,6149,6251,6367,6348,6346,6430,6413,6392,6390,6473,6493,6436,6516,6554,6670,6838,6853,6911,7039,6668,6743,7515,7621,7715,7843,8123,15542,17118,17757,19046,43733,44108,63061,63543,99127,100904,104722,103718,113989,112241,112197,109339,105944,102022,102625,107741,99490,96294,95685,65704,57607,57400,46735,44275,41499,27962,24524,21702,
流动资产(万元),2431,2453,2408,2433,2479,2518,2455,2483,2516,2595,2567,2596,2676,2737,2694,2670,2729,2688,2641,2616,2674,2671,2588,2645,2656,2750,2892,2884,2916,3020,2676,2710,3390,3452,3560,3641,3823,4785,5466,5205,5644,27662,27765,46295,46454,81289,82462,85960,84643,80787,79082,--,0,--,0,64330,0,0,0,0,41355,33684,34151,23401,20965,27767,14174,11055,12690,
总负债(万元),56697,56693,57054,57069,57061,57063,56989,56986,56985,57014,56984,56980,56993,56950,56926,56854,56846,56767,56730,56668,55850,55797,54895,54903,54041,54037,53154,53100,52268,52282,51415,51402,51205,51176,50203,50200,49337,53747,51940,49491,47385,47583,46956,44291,44592,35973,36912,39424,38005,44065,42329,42564,39411,32997,29456,32262,37922,31719,25454,25794,22524,16612,18501,14588,12441,10490,10317,9478,8318,
流动负债(万元),54020,54016,54377,54391,54384,54386,54312,54309,54308,54337,54306,54303,54316,54273,54249,54176,54169,54089,54052,53990,53173,53120,52218,52225,51364,51359,50477,50422,49590,49605,48738,48724,48527,48498,47526,47522,46660,51070,49263,43731,41533,47467,46840,44266,44457,35968,36907,37672,36188,39774,38023,--,0,--,0,29050,0,0,0,0,10513,6007,8403,5124,4301,4693,4508,3696,2547,
股东权益不含少数股东权益(万元),-51813,-51765,-52153,-52120,-52045,-51988,-51956,-51905,-51850,-51777,-51755,-51701,-51613,-51455,-51451,-51382,-51292,-51230,-51215,-51155,-50256,-50184,-49340,-49268,-48371,-48252,-47202,-47133,-46244,-46131,-45641,-45553,-44585,-44451,-43513,-43383,-42240,-39236,-35859,-32774,-29398,-4954,-3957,17211,17388,61135,61960,63264,63657,67655,67632,67346,67622,70482,70078,67855,67303,67213,70253,66353,42596,40397,37224,31184,30873,29805,16514,14207,12525,
净资产收益率加权(%),--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,0,0,-114.18,0,-2.7,0,-5.87,0,0.01,0,0.47,0,4.04,--,5.94,3.88,8.09,0,--,--,18.61,--,--,--,0,0,0,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
