报告日期,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-06-30,1997-12-31,1997-06-30,1996-12-31,1995-12-31,1994-12-31,
净利润(扣除非经常性损益后)(万元),0,7136,0,65704,0,65184,0,109123,0,50066,--,84791,0,41928,0,90078,0,76590,0,92047,0,46384,0,62646,0,32301,0,62271,41800,24973,--,50770,28677,59730,28843,58443,--,--,--,--,--,--,--,--,
经营活动产生的现金流量净额(万元),133599,293460,77073,258750,105305,127907,83040,127358,55964,147791,111376,382119,145219,95925,-41903,8909,-10740,-112824,22151,245660,57082,38124,40322,91382,60583,1050,30208,71930,0,26844,--,62602,36442,90636,12991,49718,21094,11746,--,--,--,--,--,--,
现金及现金等价物净增加额(万元),-23904,123255,20713,-49877,-75665,-62244,-9744,-97770,-55453,92038,97065,64730,1740,7868,-70745,-103342,-80094,-144031,5720,102534,50434,-30253,-15274,189707,13978,-6921,65281,-12624,0,-5689,--,19189,11155,23935,42534,-143498,-90627,-92858,--,--,--,--,--,--,
总资产(万元),2772567,2799769,2565256,2675586,2806197,2653056,2574886,2562344,2376187,2458296,2428432,2366568,2209452,1985603,1859404,1873995,1975917,1928970,2074816,2007063,2082216,1837147,1745698,1658722,1357398,1113084,1037621,986136,960281,903597,870783,869094,864589,759148,736278,617602,711282,684523,622813,584680,306098,282724,274982,263554,
流动资产(万元),1317691,1419440,1228233,1391007,1598452,1462586,1389011,1393014,1154138,1221025,1172145,1124784,946245,903845,798270,827850,912107,864111,994964,927763,1013419,749436,760481,659349,476353,471957,409741,356358,369420,334117,302159,0,279768,0,0,0,342959,341742,336774,372332,99784,109455,96844,85029,
总负债(万元),1531078,1571438,1339534,1454187,1562497,1436103,1342580,1358624,1191042,1300647,1267290,1266566,1129722,933705,818803,1017025,1120206,1083410,1259183,1224954,1332201,1061038,991269,932614,651939,424491,364048,325495,295544,256009,240000,246224,257514,172209,166026,141025,266468,276375,188127,189545,174095,150722,150410,147006,
流动负债(万元),1334193,1369898,1103600,1207635,1292625,1125432,1029130,1039810,840749,940354,873698,859830,688510,488117,360435,387206,455522,413806,576306,546311,647461,500914,498214,433464,396568,310148,254407,258495,247826,207544,189106,0,187190,0,0,0,232455,238361,142449,143897,119083,93144,89655,77270,
股东权益不含少数股东权益(万元),1241488,1228332,1225721,1221399,1243700,1216953,1232307,1203719,1185145,1157650,1161143,1100002,1079730,1051897,1040600,856970,855711,845560,815633,782109,750015,776109,754429,726108,705458,688593,673572,660641,664736,647589,630783,622869,607075,586939,570251,476577,444813,408148,434686,395136,132002,132002,124572,116548,
净资产收益率加权(%),0,0.57,0,4.93,0,4.46,0,8.24,0,4.33,--,8.64,0,4.3,0,10.95,0,9.33,0,11.93,0,6.17,0,8.99,0,4.81,0,8.13,0,3.89,--,10.97,4.89,13.77,0,16.63,--,18.68,--,--,--,--,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
