报告日期,2019-03-31,2018-12-31,2018-06-30,2018-03-31,2017-12-31,2017-06-30,2017-03-31,2016-12-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2009-09-30,2009-06-30,2009-03-31,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-06-30,1997-12-31,1997-06-30,1996-12-31,1996-06-30,1995-12-31,1994-12-31,1993-12-31,
净利润(扣除非经常性损益后)(万元),--,-225,-25,--,-184,-89,--,-671,-153,--,-94,--,-1291,--,-91,--,-841,--,-528,--,-1099,--,-1080,--,-2822,0,--,0,-1423,0,-12095,0,-1724,0,-13617,-853,-426,--,3876,2125,4806,2545,6502,--,--,--,--,--,--,--,--,--,--,
经营活动产生的现金流量净额(万元),0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,0,0,-0,-0,-0,-0,0,0,0,0,-136,191,-50468,-33132,-33760,-33768,9078,-16894,-12451,-2117,-12417,0,-5595,--,12294,-7983,3373,-1768,2420,--,8000,10411,--,--,--,--,--,--,--,
现金及现金等价物净增加额(万元),0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,0,0,-0,-0,-0,-0,0,0,0,0,-40,-7,-51013,-33307,-33900,-33932,7414,-17630,-13209,-2447,-21327,0,-13089,--,52645,-3088,-3978,-13574,-5811,--,9758,4302,--,--,--,--,--,--,--,
总资产(万元),4371,4371,4516,4516,4516,4569,4571,4571,7501,7515,7538,7549,7560,7572,7580,7599,7619,7686,7702,7709,7725,9343,9360,9436,71774,66259,87216,116001,121108,121811,123628,122994,119840,120765,122628,142173,141807,136823,139452,96629,89905,75710,81101,70090,66054,55361,43476,40750,36331,19762,17944,17333,15443,
流动资产(万元),593,593,738,738,738,791,793,793,342,339,346,340,334,329,321,322,325,366,365,355,354,470,413,411,39372,33316,53913,76578,81264,81444,82857,82504,76563,--,--,--,--,96015,0,0,0,0,0,48940,47612,37364,31365,33559,30264,13579,11783,11567,9976,
总负债(万元),61058,61049,60991,60978,60965,60920,60877,60831,38215,38357,38265,38051,38051,36829,36724,36613,36517,36155,36130,35821,35468,55159,54564,54015,62344,57749,58363,55593,60253,60553,61208,50194,45465,45863,46762,43348,43031,38459,41062,27909,22968,11223,19468,3331,3113,5601,3333,4661,4413,6099,6574,9274,8364,
流动负债(万元),25067,25059,25000,24988,24975,24929,24886,24841,31367,31573,31545,31456,31456,30298,30256,30208,30175,29877,29915,29669,29378,49891,49360,48874,62230,57635,58249,55103,59752,60041,60686,49559,44820,--,--,--,--,38347,0,0,0,0,0,2831,2445,4767,2332,3310,2775,5896,5971,9001,6945,
股东权益不含少数股东权益(万元),-56420,-56411,-56211,-56198,-56185,-56089,-56044,-56000,-30459,-30588,-30474,-30250,-30240,-29009,-28896,-28768,-28653,-28227,-28187,-27873,-27507,-45901,-45289,-44665,9127,8175,28318,59023,59421,60446,60922,71706,73638,74237,75203,98046,98216,98127,98149,68460,66937,64487,61632,66758,62941,49760,40143,36088,31918,13663,11370,8059,7078,
净资产收益率加权(%),--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,10.3,0,-66.19,0,-2.36,0,-22.59,0,-2.07,0,-22.19,0,0.26,--,4.76,3.19,8.25,0,0,--,27.7,--,--,--,0,0,0,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
