,Name,Web,Whether
83,000069华侨城A2018年年度报告摘要.(328k).PDF,http://static.cninfo.com.cn/finalpage/2019-03-30/1205966800.PDF,FALSE
84,000070特发信息2018年年度报告(更新后).(3347k).PDF,http://static.cninfo.com.cn/finalpage/2019-07-09/1206432656.PDF,FALSE
85,000070特发信息2018年年度报告(已取消).(1798k).PDF,http://static.cninfo.com.cn/finalpage/2019-04-16/1206020868.PDF,FALSE
86,000070特发信息2018年年度报告摘要.(310k).PDF,http://static.cninfo.com.cn/finalpage/2019-04-16/1206020846.PDF,FALSE
87,000078海王生物2018年年度报告.(4796k).PDF,http://static.cninfo.com.cn/finalpage/2019-04-27/1206123429.PDF,FALSE
88,000078海王生物2018年年度报告摘要.(369k).PDF,http://static.cninfo.com.cn/finalpage/2019-04-27/1206123426.PDF,FALSE
89,000088盐田港2018年年度报告.(5151k).PDF,http://static.cninfo.com.cn/finalpage/2019-04-03/1205987369.PDF,FALSE
90,000088盐田港2018年年度报告摘要.(282k).PDF,http://static.cninfo.com.cn/finalpage/2019-04-03/1205987368.PDF,FALSE
91,000089深圳机场2018年年度报告.(1884k).PDF,http://static.cninfo.com.cn/finalpage/2019-03-30/1205966091.PDF,TRUE
92,000089深圳机场2018年年度报告摘要.(344k).PDF,http://static.cninfo.com.cn/finalpage/2019-03-30/1205966086.PDF,FALSE
93,000090天健集团2018年年度报告.(9358k).PDF,http://static.cninfo.com.cn/finalpage/2019-04-02/1205982977.PDF,FALSE
94,000090天健集团2018年年度报告摘要.(293k).PDF,http://static.cninfo.com.cn/finalpage/2019-04-02/1205982978.PDF,FALSE
95,000096广聚能源2018年年度报告.(11643k).PDF,http://static.cninfo.com.cn/finalpage/2019-04-04/1205993127.PDF,
96,000096广聚能源2018年年度报告摘要.(236k).PDF,http://static.cninfo.com.cn/finalpage/2019-04-04/1205993125.PDF,FALSE
97,000100TCL集团2018年年度报告(更新后).(4691k).PDF,http://static.cninfo.com.cn/finalpage/2019-05-17/1206277413.PDF,FALSE
