,Code,2018,2017
1374,603920,1,1
1375,603922,3,3
1376,603926,2,2
1377,603928,2,2
1378,603929,1,3
1379,603933,3,6
1380,603936,2,2
1381,603937,3,4
1382,603938,2,2
1383,603939,3,1
1384,603955,2,2
1385,603956,0,0
1386,603958,1,1
1387,603959,3,6
1388,603960,2,3
1389,603963,1,3
1390,603966,4,2
1391,603968,0,0
1392,603969,2,2
1393,603970,1,0
1394,603976,0,2
1395,603977,1,2
1396,603978,1,2
1397,603979,3,3
1398,603980,2,1
1399,603985,2,3
1400,603986,3,4
1401,603987,2,2
1402,603988,1,4
1403,603989,2,0
1404,603990,0,0
1405,603991,0,1
1406,603993,1,1
1407,603996,1,3
1408,603997,4,2
1409,603998,4,2
1410,603999,2,1
1411,000001,2,1
1412,000003,0,0
1413,000004,2,1
1414,000005,1,2
1415,000006,4,6
1416,000007,1,8
1417,000008,4,2
1418,000009,1,7
1419,000010,7,0
1420,000011,0,3
1421,000012,5,0
1422,000013,0,1
1423,000014,2,0
1424,000015,0,4
1425,000016,4,1
1426,000017,2,4
1427,000018,2,3
1428,000019,2,3
1429,000020,3,0
1430,000021,0,3
1431,000022,1,3
1432,000023,1,0
1433,000024,0,3
1434,000025,3,2
1435,000026,4,5
1436,000027,8,3
1437,000028,4,2
1438,000029,1,3
1439,000030,5,0
1440,000031,0,5
1441,000032,2,0
1442,000033,0,5
1443,000034,3,2
1444,000035,4,0
1445,000036,0,0
1446,000037,0,4
1447,000038,6,3
1448,000039,2,9
1449,000040,9,6
1450,000042,4,4
1451,000043,4,3
1452,000045,3,8
1453,000046,7,0
1454,000047,0,9
1455,000048,1,1
1456,000049,2,4
1457,000050,3,1
1458,000056,2,2
1459,000058,6,5
1460,000059,8,3
1461,000060,3,2
1462,000061,6,6
1463,000062,2,2
1464,000063,1,4
1465,000065,3,7
1466,000066,5,1
1467,000068,2,1
1468,000069,1,2
1469,000070,1,4
1470,000078,5,1
1471,000088,2,2
1472,000089,3,2
1473,000090,3,1
1474,000099,2,3
1475,000100,5,4
1476,000150,1,6
1477,000151,2,1
1478,000153,1,3
1479,000155,4,6
1480,000156,3,1
1481,000157,0,0
1482,000158,4,3
1483,000159,2,3
1484,000166,2,3
1485,000301,3,3
1486,000333,3,1
1487,000338,2,3
1488,000400,1,2
1489,000401,4,3
1490,000402,3,4
1491,000403,4,5
1492,000404,6,0
1493,000405,0,0
1494,000406,0,2
1495,000407,2,2
